code,name,alpha,neg_days,avg_amount
600764.SH,中国海防,2.2774996631655236e-09,14,99589812.7685
600106.SH,重庆路桥,2.257125820228981e-09,14,80999376.45050001
600558.SH,大西洋,2.23992240072506e-09,9,97054810.68099998
600649.SH,城投控股,2.2028229576259445e-09,10,74527290.7405
601598.SH,中国外运,2.2005864992992935e-09,12,91030244.713
600640.SH,国脉文化,2.1641588307506495e-09,12,108164121.5875
603233.SH,大参林,2.1523713030617946e-09,11,101029590.037
601928.SH,凤凰传媒,2.142969468167679e-09,11,63995093.70549999
600185.SH,珠免集团,2.13420247601154e-09,13,103140896.1785
600057.SH,厦门象屿,2.094307558438004e-09,13,113879264.05350001
600017.SH,日照港,2.0928329307137333e-09,12,79579720.74499999
601528.SH,瑞丰银行,2.078572297599301e-09,9,58599293.46049999
600315.SH,上海家化,2.071042785834414e-09,12,99274810.113
601588.SH,北辰实业,2.0582296110161736e-09,13,188914112.01449996
600743.SH,华远控股,2.036893271952555e-09,11,208498215.48849997
600189.SH,泉阳泉,2.036767995464016e-09,10,85906481.80600001
600528.SH,中铁工业,2.0071598107070013e-09,11,92512955.117
603049.SH,中策橡胶,1.9665398501038472e-09,10,102520103.3655
600507.SH,方大特钢,1.9649348285578825e-09,13,140922272.81100002
601011.SH,宝泰隆,1.9563500681772664e-09,10,191880502.8285
600751.SH,海航科技,1.952789716370965e-09,14,123982442.227
600682.SH,南京新百,1.950676146299129e-09,12,125977646.04349999
600956.SH,新天绿能,1.9468295088798015e-09,14,256112124.43900004
601116.SH,三江购物,1.943606126157878e-09,11,178365440.63500002
600567.SH,山鹰国际,1.9366995268751953e-09,12,171892529.89199996
600962.SH,国投中鲁,1.931889060745991e-09,12,163145963.293
601369.SH,陕鼓动力,1.9274778202858305e-09,11,145297395.1915
600787.SH,中储股份,1.916158227357843e-09,10,89756895.8795
600058.SH,五矿发展,1.8988950394240262e-09,11,172081924.1085
601098.SH,中南传媒,1.8956993560877062e-09,13,84390128.17249998
600848.SH,上海临港,1.8884697268903808e-09,9,129701108.59300002
600586.SH,金晶科技,1.8763829854108913e-09,15,228921810.183
601005.SH,重庆钢铁,1.873677325586345e-09,12,92058525.362
601236.SH,红塔证券,1.8594420436010408e-09,10,123518535.373
603529.SH,爱玛科技,1.849511088857096e-09,13,162467806.8925
600433.SH,冠豪高新,1.8222867761035436e-09,14,209634728.6655
600855.SH,航天长峰,1.7967945507635162e-09,14,176110962.2015
600780.SH,通宝能源,1.7762300756588853e-09,9,253100475.173
600502.SH,安徽建工,1.7699577338393116e-09,13,149787246.13549998
601228.SH,广州港,1.7599777360855816e-09,11,68763645.4745
600004.SH,白云机场,1.7530905490093532e-09,11,86698652.71450001
600478.SH,科力远,1.7521158560822275e-09,12,199566828.841
600054.SH,黄山旅游,1.7495946998762075e-09,9,78586614.654
600592.SH,龙溪股份,1.7483780491955674e-09,10,292222756.53
600866.SH,星湖科技,1.7462760965230957e-09,9,98454186.61899999
