date,open,high,low,close,atr,atr_pct,buy_price_target,sell_price_target,trend,t_shares,t_buy_shares,t_sell_shares,day_pnl,gross_pnl,do_long,do_short
2026-02-25,240.0,244.88,218.51,228.55,17.10357142857143,0.07483514079444949,229.73785714285714,253.68285714285713,bull,16600,16600,16600,218491.42736160383,218491.42736160383,True,False
2026-03-24,216.34,233.31,212.79,233.31,16.93714285714286,0.07259501460350118,206.17771428571427,229.8897142857143,sideways,16600,16600,16600,158578.01170195872,158578.01170195872,True,True
2026-03-31,300.0,320.0,287.01,309.49,20.422142857142862,0.06598643851866898,287.7467142857143,316.3377142857143,bull,16600,16600,16600,239889.52219292521,239889.52219292521,True,False
2026-04-21,377.3,386.66,360.52,381.58,27.01785714285715,0.07080522339445765,361.0892857142857,398.9142857142857,bull,16600,16600,16600,324112.41823794506,324112.41823794506,True,False
2026-04-23,411.2,422.88,381.5,385.02,28.07928571428572,0.07292942110613922,394.35242857142856,433.66342857142854,bull,16600,16600,16600,365079.8005537782,365079.8005537782,True,False
2026-05-08,373.38,405.0,373.0,397.23,26.41928571428571,0.06650878764012212,357.52842857142855,394.5154285714286,sideways,16600,16600,16600,247670.86745392438,247670.86745392438,True,True
2026-05-29,369.97,407.0,365.0,402.81,25.014999999999993,0.06210123879744791,354.961,389.982,sideways,16600,16600,16600,227415.55952642765,227415.55952642765,True,True
2026-06-02,373.11,408.74,368.58,408.74,26.893571428571423,0.06579627985656267,356.9738571428572,394.62485714285714,sideways,16600,16600,16600,244954.24449759815,244954.24449759815,True,True
2026-06-05,455.95,487.1,436.01,441.67,29.426428571428573,0.06662537317777656,438.29414285714284,479.49114285714285,bull,16600,16600,16600,369112.6389871184,369112.6389871184,True,False
2026-06-10,482.0,495.0,445.0,452.69,34.81214285714286,0.07690062262727884,461.1127142857143,509.8497142857143,bull,16600,16600,16600,451172.03206941206,451172.03206941206,True,False
2026-06-26,565.07,582.0,533.0,543.0,38.55428571428571,0.0710023677979479,541.9374285714287,595.9134285714287,bull,16600,16600,16600,487858.10716845095,487858.10716845095,True,False
