date,A_VolBand_cum_pnl,A_VolBand_equity,B_Grid_cum_pnl,B_Grid_equity,C_Momentum_cum_pnl,C_Momentum_equity,D_Adaptive_cum_pnl,D_Adaptive_equity
2024-11-12,37518.24255734909,5494972.722157349,40022.827534032214,5497477.307134032,126378.81141502538,5583833.291015026,83711.01008765982,5541165.48968766
2024-11-13,37518.24255734909,5512314.722157349,40022.827534032214,5514819.307134032,126378.81141502538,5601175.291015025,83711.01008765982,5558507.48968766
2024-11-14,37518.24255734909,5466291.722157349,40022.827534032214,5468796.307134032,126378.81141502538,5555152.291015026,83711.01008765982,5512484.48968766
2024-11-15,51133.206960995274,5433216.686560995,40022.827534032214,5422106.307134032,136375.46318246878,5518458.942782469,83711.01008765982,5465794.48968766
2024-11-18,51133.206960995274,5427213.686560995,40022.827534032214,5416103.307134032,146356.6857759612,5522437.165375961,83711.01008765982,5459791.48968766
2024-11-19,51133.206960995274,5456561.686560995,40022.827534032214,5445451.307134032,146356.6857759612,5551785.165375961,83711.01008765982,5489139.48968766
2024-11-20,51133.206960995274,5451892.686560995,40022.827534032214,5440782.307134032,146356.6857759612,5547116.165375961,83711.01008765982,5484470.48968766
2024-11-21,51133.206960995274,5437885.686560995,42655.34477563221,5429407.824375632,155658.98422834097,5542411.463828341,95586.07185057463,5482338.551450575
2024-11-22,51133.206960995274,5379189.686560995,42655.34477563221,5370711.824375632,155658.98422834097,5483715.463828341,95586.07185057463,5423642.551450575
2024-11-25,61650.48679212417,5460408.966392124,42655.34477563221,5441413.824375632,162207.98889375204,5560966.468493752,104130.4418501354,5502888.921450136
2024-11-26,61650.48679212417,5417720.966392124,45254.66972923222,5401325.149329232,162207.98889375204,5518278.468493752,110795.74954613534,5466866.229146136
2024-11-27,61650.48679212417,5466411.966392124,45254.66972923222,5450016.149329232,169205.60630576313,5573967.085905763,110795.74954613534,5515557.229146136
2024-11-28,61650.48679212417,5433728.966392124,45254.66972923222,5417333.149329232,169205.60630576313,5541284.085905763,110795.74954613534,5482874.229146136
2024-11-29,61650.48679212417,5465744.966392124,45254.66972923222,5449349.149329232,169205.60630576313,5573300.085905763,110795.74954613534,5514890.229146136
2024-12-02,61650.48679212417,5473748.966392124,45254.66972923222,5457353.149329232,169205.60630576313,5581304.085905763,110795.74954613534,5522894.229146136
2024-12-03,61650.48679212417,5460408.966392124,45254.66972923222,5444013.149329232,169205.60630576313,5567964.085905763,110795.74954613534,5509554.229146136
2024-12-04,61650.48679212417,5433061.966392124,45254.66972923222,5416666.149329232,169205.60630576313,5540617.085905763,110795.74954613534,5482207.229146136
2024-12-05,61650.48679212417,5427058.966392124,45254.66972923222,5410663.149329232,169205.60630576313,5534614.085905763,110795.74954613534,5476204.229146136
2024-12-06,61650.48679212417,5437730.966392124,45254.66972923222,5421335.149329232,169205.60630576313,5545286.085905763,110795.74954613534,5486876.229146136
2024-12-09,61650.48679212417,5423723.966392124,45254.66972923222,5407328.149329232,169205.60630576313,5531279.085905763,110795.74954613534,5472869.229146136
2024-12-10,61650.48679212417,5425057.966392124,45254.66972923222,5408662.149329232,169205.60630576313,5532613.085905763,110795.74954613534,5474203.229146136
2024-12-11,61650.48679212417,5433061.966392124,45254.66972923222,5416666.149329232,169205.60630576313,5540617.085905763,110795.74954613534,5482207.229146136
2024-12-12,61650.48679212417,5437063.966392124,45254.66972923222,5420668.149329232,169205.60630576313,5544619.085905763,110795.74954613534,5486209.229146136
2024-12-13,61650.48679212417,5413718.966392124,45254.66972923222,5397323.149329232,169205.60630576313,5521274.085905763,110795.74954613534,5462864.229146136
2024-12-16,61650.48679212417,5407715.966392124,47836.47653083224,5393901.956130832,169205.60630576313,5515271.085905763,110795.74954613534,5456861.229146136
2024-12-17,61650.48679212417,5411717.966392124,50391.545100432224,5400459.024700432,169205.60630576313,5519273.085905763,110795.74954613534,5460863.229146136
2024-12-18,66830.50643630681,5434239.986036306,50391.545100432224,5417801.024700432,172252.8685556471,5539662.3481556475,114912.08908456765,5482321.568684568
2024-12-19,66830.50643630681,5622333.986036306,50391.545100432224,5605895.024700432,172252.8685556471,5727756.3481556475,114912.08908456765,5670415.568684568
2024-12-20,76546.79732054967,5566684.27692055,53188.17976603225,5543325.659366032,179268.95914501767,5669406.438745018,123968.65598232564,5614106.135582326
2024-12-23,76546.79732054967,5542672.27692055,55935.94800763225,5522061.427607632,186739.07386144385,5652864.553461444,140629.37269777394,5606754.852297774
2024-12-24,76546.79732054967,5596032.27692055,55935.94800763225,5575421.427607632,186739.07386144385,5706224.553461444,140629.37269777394,5660114.8522977745
2024-12-25,76546.79732054967,5614708.27692055,58705.84444123223,5596867.3240412325,195366.75524835888,5733528.234848359,158786.0662701621,5696947.545870163
2024-12-26,76546.79732054967,5714758.27692055,58705.84444123223,5696917.3240412325,195366.75524835888,5833578.234848359,158786.0662701621,5796997.545870163
2024-12-27,76546.79732054967,5666734.27692055,58705.84444123223,5648893.3240412325,195366.75524835888,5785554.234848359,158786.0662701621,5748973.545870163
2024-12-30,76546.79732054967,5680741.27692055,61625.10617083221,5665819.585770832,205974.23578699527,5810168.715386995,172316.37005429922,5776510.849654299
2024-12-31,76546.79732054967,5554678.27692055,61625.10617083221,5539756.585770832,205974.23578699527,5684105.715386995,172316.37005429922,5650447.849654299
2025-01-02,76546.79732054967,5463299.27692055,61625.10617083221,5448377.585770832,205974.23578699527,5592726.715386995,172316.37005429922,5559068.849654299
2025-01-03,76546.79732054967,5407938.27692055,61625.10617083221,5393016.585770832,205974.23578699527,5537365.715386995,172316.37005429922,5503707.849654299
2025-01-06,76546.79732054967,5405270.27692055,64177.40871643221,5392900.888316432,223656.6115629953,5552380.091162995,178861.10074529916,5507584.580345299
2025-01-07,91404.51460277248,5496165.994202772,64177.40871643221,5468938.888316432,233037.2276465597,5637798.707246559,191002.9576097875,5595764.437209787
2025-01-08,91404.51460277248,5539520.994202772,66811.76997403218,5514928.249574033,233037.2276465597,5681153.70724656,197758.10699578744,5645874.586595788
2025-01-09,91404.51460277248,5497499.994202772,66811.76997403218,5472907.249574033,233037.2276465597,5639132.70724656,197758.10699578744,5603853.586595788
2025-01-10,91404.51460277248,5409455.994202772,66811.76997403218,5384863.249574033,233037.2276465597,5551088.70724656,197758.10699578744,5515809.586595788
2025-01-13,91404.51460277248,5352760.994202772,66811.76997403218,5328168.249574032,233037.2276465597,5494393.707246559,197758.10699578744,5459114.586595787
2025-01-14,91404.51460277248,5470819.994202772,66811.76997403218,5446227.249574032,233037.2276465597,5612452.707246559,197758.10699578744,5577173.586595787
2025-01-15,105834.17554624053,5575294.65514624,66811.76997403218,5536272.249574033,242131.90635773033,5711592.38595773,209541.45543608852,5679001.935036088
2025-01-16,105834.17554624053,5574627.655146239,66811.76997403218,5535605.249574032,242131.90635773033,5710925.38595773,209541.45543608852,5678334.935036088
2025-01-17,105834.17554624053,5595304.65514624,69529.11195163219,5558999.591551633,242131.90635773033,5731602.38595773,209541.45543608852,5699011.935036088
2025-01-20,105834.17554624053,5591969.65514624,69529.11195163219,5555664.591551633,242131.90635773033,5728267.38595773,209541.45543608852,5695676.935036088
2025-01-21,105834.17554624053,5619316.65514624,69529.11195163219,5583011.591551633,242131.90635773033,5755614.38595773,209541.45543608852,5723023.935036088
2025-01-22,105834.17554624053,5704025.65514624,69529.11195163219,5667720.591551633,242131.90635773033,5840323.38595773,209541.45543608852,5807732.935036088
2025-01-23,105834.17554624053,5915464.655146239,69529.11195163219,5879159.591551632,242131.90635773033,6051762.38595773,209541.45543608852,6019171.935036088
2025-01-24,105834.17554624053,6148247.655146239,69529.11195163219,6111942.591551632,242131.90635773033,6284545.38595773,209541.45543608852,6251954.935036088
2025-01-27,105834.17554624053,6378362.655146239,69529.11195163219,6342057.591551632,242131.90635773033,6514660.38595773,209541.45543608852,6482069.935036088
2025-02-05,105834.17554624053,6099556.655146239,69529.11195163219,6063251.591551632,242131.90635773033,6235854.38595773,209541.45543608852,6203263.935036088
2025-02-06,105834.17554624053,6218282.655146239,79349.6683084321,6191798.147908432,283029.50086035166,6395477.980460351,234608.4602340885,6347056.939834088
2025-02-07,105834.17554624053,6235624.65514624,79349.6683084321,6209140.147908432,283029.50086035166,6412819.980460351,234608.4602340885,6364398.939834089
2025-02-10,105834.17554624053,6226286.65514624,82966.8900940321,6203419.369694032,283029.50086035166,6403481.980460351,243883.90545008847,6364336.385050089
2025-02-11,105834.17554624053,6208944.655146239,82966.8900940321,6186077.369694032,283029.50086035166,6386139.980460351,243883.90545008847,6346994.385050088
2025-02-12,105834.17554624053,6229621.655146239,86569.35975163215,6210356.839351632,283029.50086035166,6406816.980460351,253121.52258608848,6376909.002186089
2025-02-13,105834.17554624053,6116898.655146239,86569.35975163215,6097633.839351632,283029.50086035166,6294093.980460351,253121.52258608848,6264186.002186089
2025-02-14,105834.17554624053,6128904.655146239,86569.35975163215,6109639.839351632,283029.50086035166,6306099.980460351,253121.52258608848,6276192.002186089
2025-02-17,105834.17554624053,6084882.655146239,90011.40001723211,6069059.879617231,283029.50086035166,6262077.980460351,253121.52258608848,6232170.002186089
2025-02-18,105834.17554624053,6038192.65514624,93435.00012283213,6025793.479722831,283029.50086035166,6215387.980460351,253121.52258608848,6185480.00218609
2025-02-19,105834.17554624053,6075544.655146239,93435.00012283213,6063145.479722831,283029.50086035166,6252739.980460351,253121.52258608848,6222832.002186089
2025-02-20,105834.17554624053,6052866.655146239,93435.00012283213,6040467.479722831,283029.50086035166,6230061.980460351,253121.52258608848,6200154.002186089
2025-02-21,105834.17554624053,6181597.655146239,93435.00012283213,6169198.479722831,283029.50086035166,6358792.980460351,253121.52258608848,6328885.002186089
2025-02-24,105834.17554624053,6441060.655146239,96993.21339643211,6432219.692996431,283029.50086035166,6618255.980460351,253121.52258608848,6588348.002186089
2025-02-25,105834.17554624053,6464405.65514624,96993.21339643211,6455564.692996432,283029.50086035166,6641600.980460351,253121.52258608848,6611693.00218609
2025-02-26,105834.17554624053,6405042.65514624,96993.21339643211,6396201.692996432,283029.50086035166,6582237.980460351,253121.52258608848,6552330.00218609
2025-02-27,105834.17554624053,6294987.655146239,96993.21339643211,6286146.692996431,283029.50086035166,6472182.980460351,253121.52258608848,6442275.002186089
2025-02-28,105834.17554624053,6024852.655146239,100636.25140603213,6019654.731006032,283029.50086035166,6202047.980460351,262463.1669420885,6181481.646542089
2025-03-03,105834.17554624053,5975494.655146239,100636.25140603213,5970296.731006032,283029.50086035166,6152689.980460351,262463.1669420885,6132123.646542089
2025-03-04,128793.65537526365,6074492.134975263,100636.25140603213,6046334.731006032,297590.3933985028,6243288.872998502,281264.9557181372,6226963.435318137
2025-03-05,128793.65537526365,6101839.134975263,104207.37279163214,6077252.852391631,297590.3933985028,6270635.872998502,281264.9557181372,6254310.435318137
2025-03-06,128793.65537526365,6137190.134975264,104207.37279163214,6112603.852391632,297590.3933985028,6305986.872998503,281264.9557181372,6289661.4353181375
2025-03-07,128793.65537526365,6072491.134975263,104207.37279163214,6047904.852391631,297590.3933985028,6241287.872998502,281264.9557181372,6224962.435318137
2025-03-10,128793.65537526365,6119848.134975263,104207.37279163214,6095261.852391631,297590.3933985028,6288644.872998502,281264.9557181372,6272319.435318137
2025-03-11,128793.65537526365,6043810.134975263,107565.51032923211,6022581.989929231,297590.3933985028,6212606.872998502,281264.9557181372,6196281.435318137
2025-03-12,128793.65537526365,6091834.134975264,107565.51032923211,6070605.989929232,297590.3933985028,6260630.872998503,281264.9557181372,6244305.4353181375
2025-03-13,128793.65537526365,6059151.134975263,110968.82625883206,6041326.305858832,297590.3933985028,6227947.872998502,289991.8937741371,6220349.373374137
2025-03-14,128793.65537526365,6107175.134975263,110968.82625883206,6089350.305858832,312300.3590037104,6290681.838603711,308986.3772353605,6287367.856835361
2025-03-17,128793.65537526365,6157867.134975263,110968.82625883206,6140042.305858832,324834.4259369999,6353907.905537,325211.08164754946,6354284.56124755
2025-03-18,128793.65537526365,6123850.134975263,110968.82625883206,6106025.305858832,324834.4259369999,6319890.905537,325211.08164754946,6320267.56124755
2025-03-19,128793.65537526365,6026468.134975263,110968.82625883206,6008643.305858832,324834.4259369999,6222508.905537,325211.08164754946,6222885.56124755
2025-03-20,128793.65537526365,6018464.134975263,110968.82625883206,6000639.305858832,324834.4259369999,6214504.905537,325211.08164754946,6214881.56124755
2025-03-21,128793.65537526365,5965104.134975263,110968.82625883206,5947279.305858832,324834.4259369999,6161144.905537,325211.08164754946,6161521.56124755
2025-03-24,128793.65537526365,5939758.134975263,110968.82625883206,5921933.305858832,324834.4259369999,6135798.905537,325211.08164754946,6136175.56124755
2025-03-25,128793.65537526365,5879061.134975263,114145.32822043207,5864412.807820432,324834.4259369999,6075101.905537,325211.08164754946,6075478.56124755
2025-03-26,128793.65537526365,5884397.134975263,114145.32822043207,5869748.807820432,324834.4259369999,6080437.905537,325211.08164754946,6080814.56124755
2025-03-27,128793.65537526365,5889066.134975263,117264.6656860321,5877537.145286031,324834.4259369999,6085106.905537,325211.08164754946,6085483.56124755
2025-03-28,128793.65537526365,5868389.134975263,117264.6656860321,5856860.145286031,324834.4259369999,6064429.905537,325211.08164754946,6064806.56124755
2025-03-31,128793.65537526365,5871057.134975263,117264.6656860321,5859528.145286031,332184.7288153795,6074448.20841538,325211.08164754946,6067474.56124755
2025-04-01,128793.65537526365,5882396.134975264,117264.6656860321,5870867.145286032,332184.7288153795,6085787.20841538,325211.08164754946,6078813.56124755
2025-04-02,128793.65537526365,5905074.134975263,117264.6656860321,5893545.145286031,338923.472085115,6115203.951685115,325211.08164754946,6101491.56124755
2025-04-03,128793.65537526365,5881062.134975263,117264.6656860321,5869533.145286031,338923.472085115,6091191.951685115,325211.08164754946,6077479.56124755
2025-04-07,128793.65537526365,5654282.134975263,126236.96484283207,5651725.444442832,359192.8582611149,5884681.337861115,332713.33561354945,5858201.81521355
2025-04-08,128793.65537526365,5610260.134975263,129032.67750043205,5610499.157100432,359192.8582611149,5840659.337861115,332713.33561354945,5814179.81521355
2025-04-09,128793.65537526365,5633605.134975263,145737.57406603202,5650549.053666031,377858.93675711495,5882670.416357115,353803.6273965494,5858615.106996549
2025-04-10,128793.65537526365,5695636.134975263,145737.57406603202,5712580.053666032,377858.93675711495,5944701.416357115,353803.6273965494,5920646.106996549
2025-04-11,128793.65537526365,5716313.134975263,145737.57406603202,5733257.053666032,386250.8307655801,5973770.31036558,353803.6273965494,5941323.106996549
2025-04-14,128793.65537526365,5710310.134975263,145737.57406603202,5727254.053666032,386250.8307655801,5967767.31036558,353803.6273965494,5935320.106996549
2025-04-15,128793.65537526365,5683630.134975263,145737.57406603202,5700574.053666031,386250.8307655801,5941087.31036558,353803.6273965494,5908640.106996549
2025-04-16,128793.65537526365,5640942.134975263,145737.57406603202,5657886.053666032,386250.8307655801,5898399.31036558,353803.6273965494,5865952.106996549
2025-04-17,128793.65537526365,5610927.134975263,145737.57406603202,5627871.053666031,386250.8307655801,5868384.31036558,353803.6273965494,5835937.106996549
2025-04-18,128793.65537526365,5646945.134975263,145737.57406603202,5663889.053666032,386250.8307655801,5904402.31036558,353803.6273965494,5871955.106996549
2025-04-21,128793.65537526365,5685631.134975263,148552.64889163204,5705390.128491631,386250.8307655801,5943088.31036558,361022.1707625494,5917859.650362549
2025-04-22,128793.65537526365,5661619.134975263,148552.64889163204,5681378.128491631,386250.8307655801,5919076.31036558,361022.1707625494,5893847.650362549
2025-04-23,128793.65537526365,5704974.134975263,148552.64889163204,5724733.128491631,386250.8307655801,5962431.31036558,361022.1707625494,5937202.650362549
2025-04-24,128793.65537526365,5730320.134975263,148552.64889163204,5750079.128491631,386250.8307655801,5987777.31036558,361022.1707625494,5962548.650362549
2025-04-25,139837.22349820554,5742030.703098205,148552.64889163204,5750746.128491631,393101.2590223003,5995294.7386223,369979.86878588644,5972173.348385886
2025-04-28,139837.22349820554,5769377.703098205,148552.64889163204,5778093.128491631,399401.4755279916,6028941.955127992,378240.4464624013,6007780.926062401
2025-04-29,152591.3858382596,5864839.865438258,148552.64889163204,5860801.128491631,408689.4218412593,6120937.901441259,390152.0776408784,6102400.557240877
2025-04-30,152591.3858382596,5828821.865438258,148552.64889163204,5824783.128491631,408689.4218412593,6084919.901441259,390152.0776408784,6066382.557240877
2025-05-06,152591.3858382596,5941544.865438258,148552.64889163204,5937506.128491631,408689.4218412593,6197642.901441259,390152.0776408784,6179105.557240877
2025-05-07,152591.3858382596,5940877.865438258,148552.64889163204,5936839.128491631,408689.4218412593,6196975.901441259,390152.0776408784,6178438.557240877
2025-05-08,152591.3858382596,6072943.865438259,148552.64889163204,6068905.128491632,408689.4218412593,6329041.901441259,390152.0776408784,6310504.557240878
2025-05-09,152591.3858382596,6004909.865438258,148552.64889163204,6000871.128491631,408689.4218412593,6261007.901441259,390152.0776408784,6242470.557240877
2025-05-12,152591.3858382596,6016915.865438258,148552.64889163204,6012877.128491631,408689.4218412593,6273013.901441259,390152.0776408784,6254476.557240877
2025-05-13,152591.3858382596,5996905.865438258,148552.64889163204,5992867.128491631,408689.4218412593,6253003.901441259,390152.0776408784,6234466.557240877
2025-05-14,152591.3858382596,5996905.865438258,148552.64889163204,5992867.128491631,408689.4218412593,6253003.901441259,390152.0776408784,6234466.557240877
2025-05-15,152591.3858382596,5907527.865438258,148552.64889163204,5903489.128491631,408689.4218412593,6163625.901441259,390152.0776408784,6145088.557240877
