date,open,close,high,low,change_pct,turnover_pct,amplitude_pct,ratio,vol_shou,amount_yuan,direction,price_position
2025-10-24,86.7,89.89,92.19,84.75,5.16,4.78,8.7,0.9263565891472868,194297.0,1730169478.0,上涨,3.361858190709046
2025-10-24,86.7,89.89,92.19,84.75,5.16,4.78,8.7,0.9263565891472868,194297.0,1730169478.0,上涨,3.361858190709046
2025-10-27,91.5,93.38,95.0,90.64,3.88,5.04,4.85,1.2989690721649485,204852.0,1908645178.0,上涨,4.050003943528669
2025-10-27,91.5,93.38,95.0,90.64,3.88,5.04,4.85,1.2989690721649485,204852.0,1908645178.0,上涨,4.050003943528669
2025-10-28,94.19,91.27,95.29,90.78,-2.26,3.67,4.83,1.6238938053097347,149252.0,1384143843.0,下跌,3.633961668901332
2025-10-28,94.19,91.27,95.29,90.78,-2.26,3.67,4.83,1.6238938053097347,149252.0,1384143843.0,下跌,3.633961668901332
2025-10-29,91.27,91.0,92.33,87.82,-0.3,3.37,4.94,11.233333333333334,136847.0,1229731521.0,下跌,3.5807240318637112
2025-10-29,91.27,91.0,92.33,87.82,-0.3,3.37,4.94,11.233333333333334,136847.0,1229731521.0,下跌,3.5807240318637112
2025-10-30,90.01,88.5,91.83,87.4,-2.75,2.5,4.87,0.9090909090909091,101713.0,909216593.0,下跌,3.087782948182033
2025-10-30,90.01,88.5,91.83,87.4,-2.75,2.5,4.87,0.9090909090909091,101713.0,909216593.0,下跌,3.087782948182033
2025-10-31,87.0,84.89,87.39,83.8,-4.08,2.72,4.06,0.6666666666666667,110620.0,942026955.0,下跌,2.3759760233456895
2025-10-31,87.0,84.89,87.39,83.8,-4.08,2.72,4.06,0.6666666666666667,110620.0,942026955.0,下跌,2.3759760233456895
2025-11-03,84.01,85.06,85.68,82.9,0.2,1.86,3.27,9.3,75422.0,636274761.0,上涨,2.4094960170360435
2025-11-03,84.01,85.06,85.68,82.9,0.2,1.86,3.27,9.3,75422.0,636274761.0,上涨,2.4094960170360435
2025-11-04,85.58,82.58,85.58,82.0,-2.92,1.43,4.21,0.4897260273972603,58006.0,482205843.0,下跌,1.9204984620238181
2025-11-04,85.58,82.58,85.58,82.0,-2.92,1.43,4.21,0.4897260273972603,58006.0,482205843.0,下跌,1.9204984620238181
2025-11-05,81.0,80.75,84.0,80.27,-2.22,2.3,4.52,1.036036036036036,93347.0,758936570.0,下跌,1.5596655887688298
2025-11-05,81.0,80.75,84.0,80.27,-2.22,2.3,4.52,1.036036036036036,93347.0,758936570.0,下跌,1.5596655887688298
2025-11-06,80.75,83.2,83.99,80.75,3.03,2.3,4.01,0.759075907590759,93471.0,772057673.0,上涨,2.0427478507768755
2025-11-06,80.75,83.2,83.99,80.75,3.03,2.3,4.01,0.759075907590759,93471.0,772057673.0,上涨,2.0427478507768755
