A股全量股票涨跌幅排行榜
基准日期: 2026-06-25  截止日期: 2026-07-14  生成时间: 2026-07-14 09:14:06
有效股票数: 5,194  上涨: 1,402  下跌: 3,769  中位数: -5.77%  平均: -6.45%
最大涨幅: +127.43%  最大跌幅: -54.61%

+-------+---------+-------------+---------------+-----------+-----------+-----------+-----------+---------+---------+-------+-------+------+---------+
|  排名  |   代码   |     名称     |      行业      |   总市值   |  基准日价  |   当前价   |   涨跌幅   |  前导天  |  天数比  |  风险  |  机会  | 象限  |    PE    |
|     51 |  605336  | *ST帅电      | 未知           |       18亿 |      15.88 |      10.01 |    -36.96% |     >237 |    19.8x |     80 |     58 |   Y   |     亏损 |
|     52 |  688006  | 杭可科技     | 未知           |      146亿 |      38.28 |      24.14 |    -36.94% |       51 |     4.2x |     64 |     50 |   Y   |     38.3 |
|     53 |  301387  | 光大同创     | 未知           |       29亿 |     106.90 |      67.48 |    -36.88% |       34 |     2.8x |     57 |     62 |   Y   |     亏损 |
|     54 |  301021  | 英诺激光     | 未知           |      131亿 |     135.81 |      85.78 |    -36.84% |        8 |     0.7x |     42 |     66 |   G   |    196.5 |
|     55 |  300632  | 光莆股份     | 未知           |       44亿 |      31.47 |      19.91 |    -36.74% |       37 |     3.1x |     57 |     56 |   Y   |     亏损 |
|     56 |  301669  | 高特电子     | 未知           |       25亿 |      47.37 |      30.01 |    -36.65% |      >11 |     0.9x |     52 |     64 |   Y   |    102.5 |
|     57 |  688551  | 科威尔       | 未知           |       52亿 |      75.82 |      48.06 |    -36.61% |       13 |     1.1x |     50 |     71 |   G   |    103.0 |
|     58 |  600162  | 香江控股     | 未知           |       73亿 |       3.50 |       2.22 |    -36.57% |       19 |     1.6x |     60 |     66 |   Y   |     亏损 |
|     59 |  300174  | 元力股份     | 未知           |       76亿 |      33.18 |      21.05 |    -36.56% |        8 |     0.7x |     42 |     72 |   G   |     34.4 |
|     60 |  605580  | 恒盛能源     | 未知           |       54亿 |      30.17 |      19.14 |    -36.56% |       23 |     1.9x |     50 |     66 |   G   |     33.0 |
|     61 |  301150  | 中一科技     | 未知           |      135亿 |      69.88 |      44.45 |    -36.39% |        8 |     0.7x |     42 |     61 |   G   |    103.3 |
|     62 |  688001  | 华兴源创     | 未知           |      278亿 |      92.49 |      58.90 |    -36.32% |        7 |     0.6x |     42 |     72 |   G   |    245.0 |
|     63 |  301458  | 钧崴电子     | 未知           |       50亿 |      66.78 |      42.56 |    -36.27% |        8 |     0.7x |     42 |     72 |   G   |     84.9 |
|     64 |  601208  | 东材科技     | 未知           |      500亿 |      77.58 |      49.49 |    -36.21% |       12 |     1.0x |     42 |     66 |   G   |    131.4 |
|     65 |  300819  | 聚杰微纤     | 未知           |       72亿 |      84.22 |      53.80 |    -36.12% |        8 |     0.7x |     42 |     72 |   G   |    154.8 |
|     66 |  688096  | 京源环保     | 未知           |       21亿 |      14.20 |       9.10 |    -35.92% |       33 |     2.8x |     57 |     62 |   Y   |     亏损 |
|     67 |  603989  | 艾华集团     | 未知           |      137亿 |      53.55 |      34.47 |    -35.63% |        5 |     0.4x |     36 |     55 |   G   |     52.0 |
|     68 |  600078  | 澄星股份     | 未知           |       65亿 |      15.29 |       9.87 |    -35.45% |       54 |     4.5x |     64 |     56 |   Y   |     92.8 |
|     69 |  605006  | 山东玻纤     | 未知           |      100亿 |      23.71 |      15.33 |    -35.34% |       12 |     1.0x |     42 |     78 |   G   |     亏损 |
|     70 |  300057  | 万顺新材     | 未知           |       54亿 |      10.08 |       6.52 |    -35.32% |       41 |     3.4x |     60 |     45 |   R   |     亏损 |
|     71 |  603738  | 泰晶科技     | 未知           |      162亿 |      64.76 |      41.91 |    -35.28% |        9 |     0.8x |     42 |     71 |   G   |    242.9 |
|     72 |  300522  | 世名科技     | 未知           |       41亿 |      23.94 |      15.50 |    -35.25% |        5 |     0.4x |     40 |     45 |   W   |    292.2 |
|     73 |  600714  | 金瑞矿业     | 未知           |       41亿 |      21.97 |      14.23 |    -35.23% |       83 |     6.9x |     64 |     56 |   Y   |    288.8 |
|     74 |  300835  | 龙磁科技     | 未知           |      137亿 |     253.15 |     164.01 |    -35.21% |        8 |     0.7x |     42 |     67 |   G   |    116.7 |
|     75 |  301132  | 满坤科技     | 未知           |       35亿 |      56.11 |      36.46 |    -35.02% |        7 |     0.6x |     42 |     72 |   G   |     49.4 |
|     76 |  300285  | 国瓷材料     | 未知           |      546亿 |      98.40 |      64.01 |    -34.95% |        6 |     0.5x |     36 |     55 |   G   |    103.5 |
|     77 |  603637  | 镇海股份     | 未知           |       30亿 |      19.23 |      12.54 |    -34.79% |       47 |     3.9x |     60 |     56 |   Y   |     51.3 |
|     78 |  300328  | 宜安科技     | 未知           |       76亿 |      17.02 |      11.10 |    -34.78% |      208 |    17.3x |     67 |     45 |   R   |     亏损 |
|     79 |  600228  | 返利科技     | 未知           |       27亿 |       9.81 |       6.40 |    -34.76% |        5 |     0.4x |     36 |     56 |   G   |     亏损 |
|     80 |  603115  | 海星股份     | 未知           |      206亿 |     130.73 |      85.35 |    -34.71% |        8 |     0.7x |     42 |     61 |   G   |     92.5 |
|     81 |  002297  | 博云新材     | 未知           |      124亿 |      33.11 |      21.63 |    -34.67% |        6 |     0.5x |     36 |     60 |   G   |     64.2 |
|     82 |  301217  | 铜冠铜箔     | 未知           |      993亿 |     183.27 |     119.75 |    -34.66% |        9 |     0.8x |     42 |     71 |   G   |    604.4 |
|     83 |  000070  | 特发信息     | 未知           |      139亿 |      24.77 |      16.20 |    -34.60% |        8 |     0.7x |     42 |     56 |   G   |     亏损 |
|     84 |  000510  | 新金路       | 未知           |      103亿 |      26.00 |      17.01 |    -34.58% |        9 |     0.8x |     42 |     78 |   G   |     亏损 |
|     85 |  300586  | 美联新材     | 未知           |       57亿 |      16.18 |      10.59 |    -34.55% |       12 |     1.0x |     42 |     78 |   G   |     亏损 |
|     86 |  300726  | 宏达电子     | 未知           |      128亿 |      91.30 |      59.90 |    -34.39% |        8 |     0.7x |     42 |     72 |   G   |     56.0 |
|     87 |  600888  | 新疆众和     | 未知           |      164亿 |      16.12 |      10.58 |    -34.37% |        7 |     0.6x |     42 |     72 |   G   |     23.3 |
|     88 |  002057  | 中钢天源     | 未知           |       62亿 |      12.52 |       8.22 |    -34.35% |       16 |     1.3x |     54 |     61 |   Y   |     32.6 |
|     89 |  300410  | 正业科技     | 未知           |       29亿 |      11.85 |       7.78 |    -34.35% |       49 |     4.1x |     64 |     56 |   Y   |     71.3 |
|     90 |  300806  | 斯迪克       | 未知           |      245亿 |     117.88 |      77.48 |    -34.27% |        8 |     0.7x |     42 |     72 |   G   |    532.6 |
|     91 |  000657  | 中钨高新     | 未知           |     1008亿 |     105.45 |      69.36 |    -34.22% |        9 |     0.8x |     42 |     78 |   G   |     81.1 |
|     92 |  301577  | 美信科技     | 未知           |       11亿 |      85.22 |      56.14 |    -34.12% |       43 |     3.6x |     57 |     50 |   Y   |     亏损 |
|     93 |  603267  | 鸿远电子     | 未知           |      127亿 |      83.60 |      55.10 |    -34.09% |        8 |     0.7x |     42 |     72 |   G   |     44.5 |
|     94 |  603399  | 永杉锂业     | 未知           |       77亿 |      22.74 |      14.99 |    -34.08% |       14 |     1.2x |     50 |     78 |   G   |     亏损 |
