time,event,order,label,shares,price,fee,cash,position
2026-07-22T09:59:00,29882,139,MOM short,-100,387.13,11.6139,132570.23540000003,100
2026-07-22T10:46:00,29976,140,MOM buyback,100,382.59,11.477699999999999,94299.75770000003,200
2026-07-23T09:36:00,30317,141,MOM short,-100,362.73,10.8819,130561.87580000004,100
2026-07-23T11:17:00,30519,143,MOM buyback,100,357.39,10.721699999999998,94812.15410000004,200
2026-07-23T13:11:00,30567,144,MOM short,-100,360.75,10.8225,130876.33160000003,100
2026-07-23T14:24:00,30713,146,MOM buyback,100,355.7,10.671,95295.66060000003,200
2026-07-24T09:36:00,30798,147,MOM short,-100,346.21,10.386299999999999,129906.27430000003,100
2026-07-24T10:25:00,30896,148,MOM buyback,100,344.0,10.319999999999999,95495.95430000004,200
2026-07-24T10:27:00,30900,149,MOM short,-100,343.6,10.308,129845.64630000005,100
2026-07-24T11:05:00,30976,150,MOM buyback,100,338.04,10.1412,96031.50510000005,200
2026-07-27T09:46:00,31299,151,MOM long,100,324.61,9.738299999999999,63560.766800000056,300
2026-07-27T10:39:00,31405,152,MOM sellback,-100,329.47,9.884099999999998,96497.88270000005,200
2026-07-27T14:32:00,31691,153,MOM short,-100,331.23,9.9369,129610.94580000004,100
2026-07-28T09:36:00,31760,159,MOM buyback,100,326.55,9.7965,96946.14930000005,200
2026-07-28T09:56:00,31800,160,MOM short,-100,320.73,9.621899999999998,129009.52740000005,100
2026-07-28T10:21:00,31850,161,MOM buyback,100,317.31,9.5193,97269.00810000005,200
2026-07-29T09:38:00,32245,162,MOM short,-100,294.35,8.8305,126695.17760000005,100
2026-07-29T14:59:00,32707,165,MOM force buyback,100,281.7,8.450999999999999,98516.72660000005,200
2026-07-30T09:35:00,32720,166,REV-T sell,-100,285.48,8.5644,127056.16220000005,100
2026-07-30T09:50:00,32750,167,REV-T buyback(NORMAL),100,277.16,8.3148,99331.84740000004,200
2026-07-30T09:53:00,32756,168,MOM short,-100,278.31,8.3493,127154.49810000004,100
2026-07-30T14:59:00,33188,171,MOM force buyback,100,262.66,7.8798,100880.61830000003,200
2026-08-03T09:35:00,33682,172,MOM short,-100,270.56,8.1168,127928.50150000003,100
2026-08-03T09:52:00,33716,173,MOM buyback,100,266.4,7.991999999999998,101280.50950000003,200
2026-08-03T09:57:00,33726,174,MOM short,-100,265.74,7.972199999999999,127846.53730000003,100
2026-08-03T10:40:00,33812,179,MOM buyback,100,262.67,7.8801,101571.65720000003,200
2026-08-04T09:38:00,34169,180,REV-T sell,-100,272.92,8.1876,128855.46960000003,100
2026-08-04T10:20:00,34253,182,REV-T buyback(REBOUND99),100,273.0,8.19,101547.27960000002,200
2026-08-04T13:55:00,34503,183,REV-T sell,-100,282.71,8.481299999999997,129809.79830000002,100
2026-08-05T09:32:00,34638,184,REV-T buyback(NORMAL),100,280.01,8.4003,101800.39800000002,200
2026-08-05T09:34:00,34642,185,MOM short,-100,281.86,8.4558,129977.94220000002,100
2026-08-07T14:59:00,36074,196,MOM force buyback,100,338.69,10.160699999999999,96098.78150000001,200
2026-08-10T09:49:00,36115,197,MOM short,-100,347.73,10.431899999999999,130861.34960000002,100
2026-08-10T14:13:00,36463,198,MOM buyback,100,342.66,10.2798,96585.06980000003,200
2026-08-11T09:49:00,36596,199,MOM short,-100,330.3,9.908999999999999,129605.16080000003,100
2026-08-14T14:59:00,38479,214,MOM force buyback,100,355.18,10.655399999999998,94076.50540000002,200
2026-08-17T09:52:00,38526,215,REV-T sell,-100,364.07,10.922099999999999,130472.58330000003,100
2026-08-17T10:00:00,38542,216,REV-T buyback(NORMAL),100,360.01,10.800299999999998,94460.78300000002,200
2026-08-17T11:03:00,38668,217,REV-T sell,-100,367.0,11.01,131149.77300000002,100
2026-08-19T09:33:00,39450,218,REV-T buyback(NORMAL),100,363.71,10.911299999999999,94767.86170000001,200
2026-08-19T09:39:00,39462,219,MOM short,-100,365.0,10.95,131256.9117,100
2026-08-20T10:02:00,39989,225,MOM buyback,100,361.2,10.835999999999999,95126.07569999999,200
2026-08-21T09:32:00,40410,226,REV-T sell,-100,359.21,10.776299999999999,131036.29939999999,100
2026-08-21T09:45:00,40436,230,REV-T buyback(NORMAL),100,357.61,10.728299999999999,95264.57109999999,200
2026-08-21T09:47:00,40440,231,MOM short,-100,359.24,10.777199999999999,131177.7939,100
2026-08-21T14:59:00,40884,234,MOM force buyback,100,363.6,10.908,94806.8859,200
2026-08-24T09:50:00,40927,235,MOM short,-100,364.55,10.936499999999999,131250.94939999998,100
2026-08-24T14:59:00,41365,238,MOM force buyback,100,379.19,11.375699999999998,93320.57369999998,200
2026-08-25T09:59:00,41426,239,REV-T sell,-100,365.84,10.9752,129893.59849999998,100
