time,equity,cash,position,price,unfinished_abs,occupied
2026-05-28T10:40:00,177592.2245,177592.2245,0,357.9,200,77702.0
2026-05-28T10:41:00,177592.2245,177592.2245,0,358.42,200,77702.0
2026-05-28T10:42:00,177592.2245,177592.2245,0,356.77,200,77702.0
2026-05-28T10:43:00,177592.2245,177592.2245,0,356.2,200,77702.0
2026-05-28T10:44:00,177592.2245,177592.2245,0,357.79,200,77702.0
2026-05-28T10:45:00,177592.2245,177592.2245,0,357.02,200,77702.0
2026-05-28T10:46:00,177592.2245,177592.2245,0,356.89,200,77702.0
2026-05-28T10:47:00,177592.2245,177592.2245,0,356.97,200,77702.0
2026-05-28T10:48:00,177592.2245,177592.2245,0,357.5,200,77702.0
2026-05-28T10:49:00,177592.2245,177592.2245,0,358.5,200,77702.0
2026-05-28T10:50:00,177592.2245,177592.2245,0,357.84,200,77702.0
2026-05-28T10:51:00,177592.2245,177592.2245,0,358.33,200,77702.0
2026-05-28T10:52:00,177592.2245,177592.2245,0,359.21,200,77702.0
2026-05-28T10:53:00,177592.2245,177592.2245,0,358.9,200,77702.0
2026-05-28T10:54:00,177592.2245,177592.2245,0,359.68,200,77702.0
2026-05-28T10:55:00,177592.2245,177592.2245,0,359.51,200,77702.0
2026-05-28T10:56:00,177592.2245,177592.2245,0,359.82,200,77702.0
2026-05-28T10:57:00,177592.2245,177592.2245,0,359.51,200,77702.0
2026-05-28T10:58:00,177592.2245,177592.2245,0,358.31,200,77702.0
2026-05-28T10:59:00,177592.2245,177592.2245,0,358.81,200,77702.0
2026-05-28T11:00:00,177592.2245,177592.2245,0,358.7,200,77702.0
2026-05-28T11:01:00,177592.2245,177592.2245,0,357.5,200,77702.0
2026-05-28T11:02:00,177592.2245,177592.2245,0,357.0,200,77702.0
2026-05-28T11:03:00,177592.2245,177592.2245,0,358.51,200,77702.0
2026-05-28T11:04:00,177592.2245,177592.2245,0,359.77,200,77702.0
2026-05-28T11:05:00,177592.2245,177592.2245,0,359.6,200,77702.0
2026-05-28T11:06:00,177592.2245,177592.2245,0,358.9,200,77702.0
2026-05-28T11:07:00,177592.2245,177592.2245,0,358.24,200,77702.0
2026-05-28T11:08:00,177592.2245,177592.2245,0,359.48,200,77702.0
2026-05-28T11:09:00,177592.2245,177592.2245,0,359.5,200,77702.0
2026-05-28T11:10:00,177592.2245,177592.2245,0,360.0,200,77702.0
2026-05-28T11:11:00,177592.2245,177592.2245,0,360.87,200,77702.0
2026-05-28T11:12:00,177592.2245,177592.2245,0,359.74,200,77702.0
2026-05-28T11:13:00,177592.2245,177592.2245,0,359.41,200,77702.0
2026-05-28T11:14:00,177592.2245,177592.2245,0,359.97,200,77702.0
2026-05-28T11:15:00,177592.2245,177592.2245,0,359.82,200,77702.0
2026-05-28T11:16:00,177592.2245,177592.2245,0,359.97,200,77702.0
2026-05-28T11:17:00,177592.2245,177592.2245,0,360.25,200,77702.0
2026-05-28T11:18:00,177592.2245,177592.2245,0,360.78,200,77702.0
2026-05-28T11:19:00,177592.2245,177592.2245,0,360.46,200,77702.0
2026-05-28T11:20:00,177592.2245,177592.2245,0,360.7,200,77702.0
2026-05-28T11:21:00,177592.2245,177592.2245,0,361.32,200,77702.0
2026-05-28T11:22:00,177592.2245,177592.2245,0,360.8,200,77702.0
2026-05-28T11:23:00,177592.2245,177592.2245,0,361.56,200,77702.0
2026-05-28T11:24:00,177592.2245,177592.2245,0,362.77,200,77702.0
2026-05-28T11:25:00,177592.2245,177592.2245,0,362.2,200,77702.0
2026-05-28T11:26:00,177592.2245,177592.2245,0,362.8,200,77702.0
2026-05-28T11:27:00,177592.2245,177592.2245,0,362.93,200,77702.0
2026-05-28T11:28:00,177592.2245,177592.2245,0,363.99,200,77702.0
2026-05-28T11:29:00,177592.2245,177592.2245,0,363.9,200,77702.0
2026-05-28T11:30:00,177592.2245,177592.2245,0,364.19,200,77702.0
2026-05-28T13:01:00,177592.2245,177592.2245,0,362.63,200,77702.0
2026-05-28T13:02:00,177592.2245,177592.2245,0,361.08,200,77702.0
2026-05-28T13:03:00,177592.2245,177592.2245,0,360.98,200,77702.0
2026-05-28T13:04:00,177592.2245,177592.2245,0,361.52,200,77702.0
2026-05-28T13:05:00,177592.2245,177592.2245,0,363.1,200,77702.0
2026-05-28T13:06:00,177592.2245,177592.2245,0,361.6,200,77702.0
2026-05-28T13:07:00,177592.2245,177592.2245,0,361.63,200,77702.0
2026-05-28T13:08:00,177592.2245,177592.2245,0,361.83,200,77702.0
2026-05-28T13:09:00,177592.2245,177592.2245,0,362.29,200,77702.0
2026-05-28T13:10:00,177592.2245,177592.2245,0,361.92,200,77702.0
2026-05-28T13:11:00,177592.2245,177592.2245,0,359.96,200,77702.0
2026-05-28T13:12:00,177592.2245,177592.2245,0,359.0,200,77702.0
2026-05-28T13:13:00,177592.2245,177592.2245,0,361.32,200,77702.0
2026-05-28T13:14:00,177592.2245,177592.2245,0,360.71,200,77702.0
2026-05-28T13:15:00,177592.2245,177592.2245,0,362.5,200,77702.0
2026-05-28T13:16:00,177592.2245,177592.2245,0,362.35,200,77702.0
2026-05-28T13:17:00,177592.2245,177592.2245,0,363.0,200,77702.0
