code,sector,tier,period,fwd_ret,max_dd,trend,bottom,v3,v5,v6,v6_trend,v6_core,v6_bottom
600776,通信设备,T1,2025-2026,36.7,-45.9,67,17,True,True,True,True,True,True
002025,国防军工,T3,2025-2026,31.0,-29.5,23,18,False,True,False,False,False,False
605006,玻璃玻纤,T2,2025-2026,198.0,-26.9,24,19,False,True,True,False,False,True
603516,计算机设备,T3,2025-2026,22.6,-57.7,39,6,False,False,False,False,False,False
000050,光学光电子,T3,2025-2026,-21.4,-30.1,65,20,True,True,False,False,False,False
002643,电子化学品,T2,2025-2026,23.9,-24.9,54,18,True,True,True,True,True,True
000636,元件,T1,2025-2026,356.4,-30.0,62,20,True,True,True,True,True,True
000977,计算机设备,T3,2025-2026,2.9,-26.7,18,19,False,True,False,False,False,False
000063,通信设备,T1,2025-2026,9.4,-40.7,28,19,False,True,True,False,False,True
900918,玻璃玻纤,T2,2025-2026,-6.5,-23.3,24,19,False,True,True,False,False,True
002194,通信设备,T1,2025-2026,-16.3,-38.1,32,20,False,True,True,False,False,True
600819,玻璃玻纤,T2,2025-2026,0.8,-34.7,24,19,False,True,True,False,False,True
600183,元件,T1,2025-2026,283.9,-31.0,57,4,True,True,True,True,False,False
000536,光学光电子,T3,2025-2026,-31.5,-43.4,62,11,True,True,False,False,False,False
000727,光学光电子,T3,2025-2026,5.3,-19.2,50,20,True,True,False,False,False,False
603078,电子化学品,T2,2025-2026,150.3,-32.3,58,20,True,True,True,True,True,True
600237,元件,T1,2025-2026,30.5,-27.6,60,20,True,True,True,True,True,True
002049,半导体,T1,2025-2026,-2.4,-30.0,67,20,True,True,True,True,True,True
002613,玻璃玻纤,T2,2025-2026,20.9,-25.1,46,13,False,True,True,False,True,False
600775,通信设备,T1,2025-2026,-17.1,-48.7,78,12,True,True,True,True,True,False
002414,国防军工,T3,2025-2026,-0.3,-36.0,55,3,True,True,False,False,False,False
000066,计算机设备,T3,2025-2026,-1.4,-38.1,28,20,False,True,False,False,False,False
002180,计算机设备,T3,2025-2026,-39.2,-45.7,18,19,False,True,False,False,False,False
002273,光学光电子,T3,2025-2026,54.7,-23.8,65,20,True,True,False,False,False,False
000586,通信设备,T1,2025-2026,14.8,-41.9,75,17,True,True,True,True,True,True
601636,玻璃玻纤,T2,2025-2026,8.3,-26.1,24,17,False,True,True,False,False,True
002935,国防军工,T3,2025-2026,22.6,-34.1,68,17,True,True,False,False,False,False
002281,通信设备,T1,2025-2026,295.0,-26.7,63,18,True,True,True,True,True,True
601869,,T3,2025-2026,694.7,-39.6,50,3,True,False,False,False,False,False
002584,电子化学品,T2,2025-2026,-10.6,-29.1,18,20,False,True,True,False,False,True
000100,光学光电子,T3,2025-2026,3.0,-19.2,25,19,False,True,False,False,False,False
002199,元件,T1,2025-2026,23.9,-38.3,68,1,True,True,True,True,False,False
002396,通信设备,T1,2025-2026,-23.1,-34.6,65,13,True,True,True,True,True,False
002222,光学光电子,T3,2025-2026,126.0,-25.6,59,9,True,True,False,False,False,False
002201,玻璃玻纤,T2,2025-2026,39.7,-37.3,50,20,True,True,True,True,True,True
600345,通信设备,T1,2025-2026,109.6,-28.6,78,8,True,True,True,True,False,False
002177,计算机设备,T3,2025-2026,-9.5,-40.2,0,19,False,True,False,False,False,False
600879,国防军工,T3,2025-2026,78.5,-39.2,59,6,True,True,False,False,False,False
000738,国防军工,T3,2025-2026,-14.0,-38.8,58,20,True,True,False,False,False,False
600293,玻璃玻纤,T2,2025-2026,15.6,-20.9,46,20,False,True,True,False,True,True
002017,通信设备,T1,2025-2026,-48.5,-55.2,53,4,True,False,True,True,False,False
000823,元件,T1,2025-2026,40.2,-24.1,72,12,True,True,True,True,True,False
002484,元件,T1,2025-2026,221.4,-29.5,72,3,True,True,True,True,False,False
