code,name,buy_date,buy_time,buy_price,sell_date,sell_time,sell_price,shares,exit_reason,screen_ma5,screen_ma20,screen_atr14,screen_pullback_atr,screen_atr_percent,buy_commission,sell_commission,stamp_tax,net_pnl,return_pct
688172.SH,燕东微,20260429,10:17:00,39.4797,20260430,09:31:00,39.9899,100,SELLBACK,41.492,39.5345,2.983571,0.583864,7.547613,5.0,5.0,3.99899,37.02101,0.9365365788255411
688629.SH,华丰科技,20260429,10:17:00,126.9935,20260430,09:31:00,128.9064,100,SELLBACK,133.898,126.5955,9.799286,0.703929,7.593402,5.0,5.0,12.89064,168.39936,1.3255251941264212
600126.SH,杭钢股份,20260429,11:10:00,9.2673,20260430,10:00:00,8.7906,100,FORCE_1000,9.945,9.381,0.721429,0.776238,7.888776,5.0,5.0,0.87906,-58.54906,-6.283908428407371
300058.SZ,蓝色光标,20260429,13:22:00,17.2986,20260430,09:32:00,17.5437,100,SELLBACK,17.91,16.6415,1.207857,0.861029,7.24135,5.0,5.0,1.75437,12.75563,0.7352541415445626
300620.SZ,光库科技,20260429,13:25:00,237.1274,20260430,09:31:00,240.3491,100,SELLBACK,247.338,230.124,17.709286,0.810761,7.425277,5.928185,6.008727,24.03491,286.198178,1.2066367966688598
600707.SH,彩虹股份,20260430,09:37:00,8.2241,20260506,09:33:00,8.3175,100,SELLBACK,8.518,7.233,0.622143,0.495063,7.126493,5.0,5.0,0.83175,-1.49175,-0.18029151206777777
688313.SH,仕佳光子,20260430,09:44:00,133.2466,20260506,09:31:00,138.1725,100,SELLBACK,138.372,118.458,12.533571,0.356802,9.577848,5.0,5.0,13.81725,468.77275,3.5167644936179916
688172.SH,燕东微,20260430,09:53:00,39.3797,20260506,10:00:00,39.7301,100,FORCE_1000,40.956,39.635,3.047857,0.412093,7.636826,5.0,5.0,3.97301,21.06699,0.5342924242385816
688629.SH,华丰科技,20260430,09:54:00,124.5622,20260506,10:00:00,128.1759,100,FORCE_1000,132.53,127.7895,9.695714,0.418742,7.624815,5.0,5.0,12.81759,338.55241,2.716848029326181
600707.SH,彩虹股份,20260506,09:43:00,8.2086,20260507,09:31:00,8.4174,100,SELLBACK,8.43,7.3545,0.632857,0.426637,7.890987,5.0,5.0,0.84174,10.03826,1.2154917298331436
600105.SH,永鼎股份,20260506,13:20:00,43.9785,20260507,09:31:00,44.9175,100,SELLBACK,45.607,39.8335,3.247857,0.711854,7.660944,5.0,5.0,4.49175,79.40825,1.8035647364775091
300390.SZ,天华新能,20260508,11:13:00,104.2521,20260511,10:00:00,102.7086,100,FORCE_1000,107.954,85.915,7.944286,0.425967,7.15186,5.0,5.0,10.27086,-174.62086,-1.674183549516261
001203.SZ,大中矿业,20260511,09:34:00,47.7839,20260512,10:00:00,45.2773,100,FORCE_1000,50.64,45.4615,3.464286,1.062268,7.370821,5.0,5.0,4.52773,-265.18773,-5.543928678196843
002756.SZ,永兴材料,20260511,09:46:00,79.0195,20260512,09:31:00,79.88,100,SELLBACK,84.004,76.9785,5.580714,0.968335,7.041911,5.0,5.0,7.988,68.062,0.8607870291325986
