code,name,buy_date,buy_time,buy_price,sell_date,sell_time,sell_price,shares,exit_reason,buy_commission,sell_commission,stamp_tax,net_pnl,return_pct
688037.SH,芯源微,20251229,10:35:00,141.8549,20251230,09:31:00,144.7167,100,SELLBACK,5.0,5.0,14.47167,261.70833,1.8442515374733361
688120.SH,华海清科,20251229,13:39:00,108.5042,20251230,09:31:00,110.4056,100,SELLBACK,5.0,5.0,11.04056,169.09944,1.5577420311696828
000582.SZ,北部湾港,20251229,14:36:00,9.5433,20251230,10:00:00,9.2454,100,FORCE_1000,5.0,5.0,0.92454,-40.71454,-4.244059916816944
601179.SH,中国西电,20251229,14:39:00,9.1406,20251230,10:00:00,9.1014,100,FORCE_1000,5.0,5.0,0.91014,-14.83014,-1.6136204382738888
688361.SH,中科飞测,20251229,14:39:00,151.4457,20251230,09:31:00,156.7646,100,SELLBACK,5.0,5.0,15.67646,506.21354,3.3414383378538135
300757.SZ,罗博特科,20251229,14:44:00,227.1927,20251230,09:42:00,229.755,100,SELLBACK,5.679818,5.743875,22.9755,221.830807,0.9761553217124062
601212.SH,白银有色,20251230,09:34:00,5.7629,20251231,09:31:00,6.021,100,SELLBACK,5.0,5.0,0.6021,15.2079,2.6162328613944847
002407.SZ,多氟多,20251230,09:36:00,32.9365,20251231,09:31:00,34.0189,100,SELLBACK,5.0,5.0,3.40189,94.83811,2.875058281418156
001203.SZ,大中矿业,20251230,09:52:00,29.8349,20251231,09:31:00,30.8537,100,SELLBACK,5.0,5.0,3.08537,88.79463,2.9712205829699947
300390.SZ,天华新能,20251230,09:53:00,52.8164,20251231,10:00:00,55.982,100,FORCE_1000,5.0,5.0,5.5982,300.9618,5.692874869482317
601869.SH,长飞光纤,20251230,10:06:00,121.6294,20251231,10:00:00,115.5072,100,FORCE_1000,5.0,5.0,11.55072,-633.77072,-5.208529299125407
300548.SZ,长芯博创,20251230,10:17:00,141.7044,20251231,09:49:00,143.2948,100,SELLBACK,5.0,5.0,14.32948,134.71052,0.9503092672961122
002851.SZ,麦格米特,20251230,10:33:00,88.8844,20251231,09:31:00,91.0233,100,SELLBACK,5.0,5.0,9.10233,194.78767,2.190239884679044
300757.SZ,罗博特科,20251230,10:33:00,226.193,20251231,10:00:00,227.3863,100,FORCE_1000,5.654825,5.684658,22.73863,85.251887,0.3768046728022582
300475.SZ,香农芯创,20251231,09:35:00,146.411,20260105,09:31:00,154.386,100,SELLBACK,5.0,5.0,15.4386,772.0614,5.2714470063702965
300223.SZ,君正股份,20251231,09:42:00,107.964,20260105,09:31:00,110.5839,100,SELLBACK,5.0,5.0,11.05839,240.93161,2.2305590941914937
000582.SZ,北部湾港,20251231,09:54:00,9.4429,20260105,10:00:00,9.2554,100,FORCE_1000,5.0,5.0,0.92554,-29.67554,-3.12607738415026
688385.SH,复旦微电,20251231,09:57:00,72.108,20260105,09:31:00,75.1292,100,SELLBACK,5.0,5.0,7.51292,284.60708,3.9442207378253276
601106.SH,中国一重,20251231,10:03:00,3.922,20260105,09:31:00,4.0339,100,SELLBACK,5.0,5.0,0.40339,0.78661,0.19803877139979859
003031.SZ,中瓷电子,20251231,10:48:00,73.987,20260105,10:00:00,74.003,100,FORCE_1000,5.0,5.0,7.4003,-15.8003,-0.21341086213649935
300395.SZ,菲利华,20251231,10:52:00,101.5708,20260105,10:00:00,100.5997,100,FORCE_1000,5.0,5.0,10.05997,-117.16997,-1.1530116865838491
300604.SZ,长川科技,20251231,11:29:00,101.9558,20260105,09:31:00,104.9624,100,SELLBACK,5.0,5.0,10.49624,280.16376,2.7465473531897207
688385.SH,复旦微电,20260105,09:46:00,73.4387,20260106,10:00:00,75.2843,100,FORCE_1000,5.0,5.0,7.52843,167.03157,2.2728878045196064
301377.SZ,鼎泰高科,20260105,09:47:00,137.4187,20260106,10:00:00,138.5107,100,FORCE_1000,5.0,5.0,13.85107,85.34893,0.6208608214088006
688234.SH,天岳先进,20260105,09:47:00,87.4437,20260106,09:31:00,88.8566,100,SELLBACK,5.0,5.0,8.88566,122.40434,1.3990074713950833
001203.SZ,大中矿业,20260105,09:48:00,29.6148,20260106,09:31:00,31.7523,100,SELLBACK,5.0,5.0,3.17523,200.57477,6.761372738059923
600282.SH,南钢股份,20260105,09:53:00,4.9953,20260106,09:31:00,5.0652,100,SELLBACK,5.0,5.0,0.50652,-3.51652,-0.6969892771490297
000683.SZ,博源化工,20260105,10:08:00,6.8439,20260106,09:31:00,7.0794,100,SELLBACK,5.0,5.0,0.70794,12.84206,1.8628149523491782
002407.SZ,多氟多,20260105,10:13:00,33.3567,20260106,09:31:00,35.2271,100,SELLBACK,5.0,5.0,3.52271,173.51729,5.194086515579211
300390.SZ,天华新能,20260105,10:13:00,53.3567,20260106,09:31:00,58.9914,100,SELLBACK,5.0,5.0,5.89914,547.57086,10.252849548839379
300751.SZ,迈为股份,20260106,09:45:00,187.2132,20260107,10:00:00,185.837,100,FORCE_1000,5.0,5.0,18.5837,-166.2037,-0.8875406379897385
600105.SH,永鼎股份,20260106,09:52:00,24.9721,20260107,09:31:00,25.6465,100,SELLBACK,5.0,5.0,2.56465,54.87535,2.193075321415868
001203.SZ,大中矿业,20260106,09:55:00,28.9245,20260107,09:31:00,30.2046,100,SELLBACK,5.0,5.0,3.02046,114.98954,3.968646223403338
300699.SZ,光威复材,20260106,09:55:00,36.9385,20260107,09:31:00,37.4538,100,SELLBACK,5.0,5.0,3.74538,37.78462,1.0215234464766074
688676.SH,金盘科技,20260106,09:57:00,86.4316,20260107,09:40:00,88.1876,100,SELLBACK,5.0,5.0,8.81876,156.78124,1.8128855155316277
300395.SZ,菲利华,20260106,13:50:00,99.5072,20260107,10:00:00,96.3618,100,FORCE_1000,5.0,5.0,9.63618,-334.17618,-3.356624935213124
301377.SZ,鼎泰高科,20260107,09:34:00,139.5697,20260108,09:31:00,145.2918,100,SELLBACK,5.0,5.0,14.52918,547.68082,3.9226614868818657
688387.SH,信科移动-U,20260107,09:37:00,12.1561,20260108,09:31:00,12.3315,100,SELLBACK,5.0,5.0,1.23315,6.30685,0.5166965697479128
603119.SH,浙江荣泰,20260107,10:04:00,85.0579,20260108,10:00:00,83.2968,100,FORCE_1000,5.0,5.0,8.32968,-194.43968,-2.284625516550167
001203.SZ,大中矿业,20260107,11:09:00,29.3247,20260108,10:00:00,28.8856,100,FORCE_1000,5.0,5.0,2.88856,-56.79856,-1.9335877472791214
300395.SZ,菲利华,20260107,13:07:00,97.3196,20260108,10:00:00,96.012,100,FORCE_1000,5.0,5.0,9.6012,-150.3612,-1.544231464440647
002850.SZ,科达利,20260107,13:48:00,151.1055,20260108,09:33:00,152.8005,100,SELLBACK,5.0,5.0,15.28005,144.21995,0.9541164562321582
300751.SZ,迈为股份,20260108,09:34:00,187.5137,20260109,09:31:00,223.1649,100,SELLBACK,5.0,5.579122,22.31649,3532.224387,18.832132160967184
000039.SZ,中集集团,20260108,10:00:00,9.183,20260109,09:31:00,9.3969,100,SELLBACK,5.0,5.0,0.93969,10.45031,1.1318433878479368
688387.SH,信科移动-U,20260108,10:35:00,12.9265,20260109,09:31:00,14.8577,100,SELLBACK,5.0,5.0,1.48577,181.63423,13.997166416213924
002812.SZ,恩捷股份,20260108,13:36:00,53.5768,20260109,09:36:00,54.9075,100,SELLBACK,5.0,5.0,5.49075,117.57925,2.1925464506552697
300390.SZ,天华新能,20260108,13:36:00,52.5262,20260109,10:00:00,51.5642,100,FORCE_1000,5.0,5.0,5.15642,-111.35642,-2.1180005401683655
002738.SZ,中矿资源,20260108,13:55:00,80.3502,20260109,10:00:00,80.3498,100,FORCE_1000,5.0,5.0,8.03498,-18.07498,-0.2248126248442168
002407.SZ,多氟多,20260108,14:20:00,32.5034,20260109,10:00:00,32.8236,100,FORCE_1000,5.0,5.0,3.28236,18.73764,0.5755970190517734
300857.SZ,协创数据,20260109,09:41:00,128.2069,20260112,09:31:00,130.2758,100,SELLBACK,5.0,5.0,13.02758,183.86242,1.4335479806544522
001309.SZ,德明利,20260109,09:47:00,231.7258,20260112,09:31:00,238.9112,100,SELLBACK,5.793145,5.97278,23.89112,682.882955,2.946207444016883
603256.SH,宏和科技,20260109,10:14:00,37.2118,20260112,09:31:00,38.3644,100,SELLBACK,5.0,5.0,3.83644,101.42356,2.7219178890982185
000830.SZ,鲁西化工,20260109,10:20:00,16.2681,20260112,09:31:00,16.7648,100,SELLBACK,5.0,5.0,1.67648,37.99352,2.328305378689921
002945.SZ,华林证券,20260109,10:58:00,17.7719,20260112,09:33:00,18.2156,100,SELLBACK,5.0,5.0,1.82156,32.54844,1.82631705934833
300475.SZ,香农芯创,20260109,11:08:00,162.8892,20260112,09:31:00,169.653,100,SELLBACK,5.0,5.0,16.9653,649.4147,3.985625926726043
000039.SZ,中集集团,20260109,11:12:00,9.4557,20260112,09:31:00,9.5666,100,SELLBACK,5.0,5.0,0.95666,0.13334,0.014027373049854295
002812.SZ,恩捷股份,20260109,11:12:00,54.179,20260112,10:00:00,52.7036,100,FORCE_1000,5.0,5.0,5.27036,-162.81036,-3.002274797617511
301200.SZ,大族数控,20260112,09:39:00,124.142,20260113,09:33:00,126.5999,100,SELLBACK,5.0,5.0,12.65999,223.13001,1.7966536491883536
300857.SZ,协创数据,20260112,09:41:00,124.6922,20260113,09:31:00,137.95,100,SELLBACK,5.0,5.0,13.795,1301.985,10.437406106353745
301377.SZ,鼎泰高科,20260112,09:41:00,141.9609,20260113,09:31:00,150.2743,100,SELLBACK,5.0,5.0,15.02743,806.31257,5.677821702418617
603225.SH,新凤鸣,20260112,09:43:00,19.2896,20260113,09:33:00,19.5007,100,SELLBACK,5.0,5.0,1.95007,9.15993,0.4736359593786841
600699.SH,均胜电子,20260112,09:46:00,30.1351,20260113,09:31:00,30.7538,100,SELLBACK,5.0,5.0,3.07538,48.79462,1.6165134453753671
688172.SH,燕东微,20260112,09:47:00,33.6875,20260113,09:31:00,34.4483,100,SELLBACK,5.0,5.0,3.44483,62.63517,1.856544497962208
002407.SZ,多氟多,20260112,09:52:00,32.2124,20260113,09:32:00,32.7209,100,SELLBACK,5.0,5.0,3.27209,37.57791,1.164758666435231
300972.SZ,万辰集团,20260112,10:03:00,198.8121,20260113,10:00:00,194.5155,100,FORCE_1000,5.0,5.0,19.45155,-459.11155,-2.308693059160092
300136.SZ,信维通信,20260113,09:42:00,73.4367,20260114,09:31:00,77.6035,100,SELLBACK,5.0,5.0,7.76035,398.91965,5.428460524149268
600435.SH,北方导航,20260113,09:42:00,19.7238,20260114,10:00:00,18.6257,100,FORCE_1000,5.0,5.0,1.86257,-121.67257,-6.153221434423327
688037.SH,芯源微,20260113,09:42:00,192.3601,20260114,10:00:00,185.6012,100,FORCE_1000,5.0,5.0,18.56012,-704.45012,-3.6611909665864735
688172.SH,燕东微,20260113,09:42:00,33.8269,20260114,10:00:00,32.5637,100,FORCE_1000,5.0,5.0,3.25637,-139.57637,-4.120104555021268
688347.SH,华虹宏力,20260113,09:44:00,124.9324,20260114,10:00:00,125.2973,100,FORCE_1000,5.0,5.0,12.52973,13.96027,0.1116978870624984
301611.SZ,珂玛科技,20260113,09:46:00,118.9194,20260114,10:00:00,119.4203,100,FORCE_1000,5.0,5.0,11.94203,28.14797,0.2365984026144538
688295.SH,中复神鹰,20260113,09:48:00,31.7729,20260114,09:31:00,33.1772,100,SELLBACK,5.0,5.0,3.31772,127.11228,3.9943650641519155
301200.SZ,大族数控,20260113,10:00:00,125.4427,20260114,09:31:00,129.0861,100,SELLBACK,5.0,5.0,12.90861,341.43139,2.720727102054542
601399.SH,国机重装,20260114,09:34:00,6.1231,20260115,10:00:00,5.8171,100,FORCE_1000,5.0,5.0,0.58171,-41.18171,-6.671155497238017
002025.SZ,航天电器,20260114,09:41:00,61.5007,20260115,10:00:00,56.6716,100,FORCE_1000,5.0,5.0,5.66716,-498.57716,-8.100267909219554
300699.SZ,光威复材,20260114,09:41:00,40.9605,20260115,10:00:00,39.4403,100,FORCE_1000,5.0,5.0,3.94403,-165.96403,-4.046866778020263
300627.SZ,华测导航,20260114,10:00:00,40.4502,20260115,10:00:00,39.7701,100,FORCE_1000,5.0,5.0,3.97701,-81.98701,-2.02436062044138
600562.SH,国睿科技,20260114,10:00:00,31.1836,20260115,09:39:00,31.5606,100,SELLBACK,5.0,5.0,3.15606,24.54394,0.7858184775370114
603920.SH,世运电路,20260114,10:00:00,51.7859,20260115,09:31:00,54.1187,100,SELLBACK,5.0,5.0,5.41187,217.86813,4.203035541005365
600765.SH,中航重机,20260114,11:21:00,20.5018,20260115,10:00:00,19.8516,100,FORCE_1000,5.0,5.0,1.98516,-77.00516,-3.746881538356738
300054.SZ,鼎龙股份,20260114,13:05:00,43.8419,20260115,09:33:00,44.3734,100,SELLBACK,5.0,5.0,4.43734,38.71266,0.8820000956896374
300058.SZ,蓝色光标,20260116,09:35:00,17.969,20260119,10:00:00,17.2714,100,FORCE_1000,5.0,5.0,1.72714,-81.48714,-4.522289805205616
600637.SH,东方明珠,20260119,10:01:00,12.4662,20260120,10:00:00,11.8941,100,FORCE_1000,5.0,5.0,1.18941,-68.39941,-5.4648703280548405
002195.SZ,岩山科技,20260119,10:08:00,9.993,20260120,10:00:00,9.6832,100,FORCE_1000,5.0,5.0,0.96832,-41.94832,-4.176871452753161
