code,name,screen_date,buy_date,buy_time,buy_price,sell_date,sell_time,sell_price,shares,exit_reason,buy_commission,sell_commission,stamp_tax,net_pnl,return_pct
300857.SZ,协创数据,20260112,20260113,09:34:00,140.2415,20260114,10:00:00,138.545,100,FORCE_1000,5.0,5.0,13.8545,-193.5045,-1.3793030939151696
300475.SZ,香农芯创,20260112,20260113,09:35:00,169.8627,20260114,09:31:00,171.9895,100,SELLBACK,5.0,5.0,17.19895,185.48105,1.091625581842911
002812.SZ,恩捷股份,20260112,20260113,09:40:00,53.2466,20260114,10:00:00,54.1229,100,FORCE_1000,5.0,5.0,5.41229,72.21771,1.355015329308061
002407.SZ,多氟多,20260112,20260113,09:41:00,32.6663,20260114,10:00:00,32.4438,100,FORCE_1000,5.0,5.0,3.24438,-35.49438,-1.0849142476380274
300223.SZ,君正股份,20260112,20260113,09:41:00,117.6088,20260114,09:31:00,118.9713,100,SELLBACK,5.0,5.0,11.89713,114.35287,0.9719023991405655
001309.SZ,德明利,20260112,20260113,10:00:00,236.0938,20260114,09:31:00,241.2377,100,SELLBACK,5.902345,6.030943,24.12377,478.332943,2.0255228627460227
301200.SZ,大族数控,20260112,20260113,10:00:00,125.4427,20260114,09:31:00,129.0861,100,SELLBACK,5.0,5.0,12.90861,341.43139,2.720727102054542
000703.SZ,恒逸石化,20260113,20260114,09:34:00,10.3852,20260115,10:00:00,10.9245,100,FORCE_1000,5.0,5.0,1.09245,42.83755,4.105101004293162
301200.SZ,大族数控,20260113,20260114,09:34:00,129.7448,20260115,10:00:00,133.3433,100,FORCE_1000,5.0,5.0,13.33433,336.51567,2.592674513925057
301611.SZ,珂玛科技,20260113,20260114,09:34:00,114.8074,20260115,09:31:00,119.6004,100,SELLBACK,5.0,5.0,11.96004,457.33996,3.9818066576467865
300136.SZ,信维通信,20260113,20260114,09:36:00,76.7784,20260115,09:32:00,78.0428,100,SELLBACK,5.0,5.0,7.80428,108.63572,1.4140047170056906
300223.SZ,君正股份,20260113,20260114,10:00:00,118.8949,20260115,10:00:00,116.2718,100,FORCE_1000,5.0,5.0,11.62718,-283.93718,-2.387132024996448
