date,S1_MA_Cross,S2_Bollinger,S3_Vol_Break,S4_TrendTrail,S5_MACD,S6_Composite,S7_FundFlow,Buy_Hold
2025-09-22,1000000.0,1000000.0,2591863.5122585436,2375912.28806006,1990912.9492511274,1000000.0,1000000.0,3012910.9821755267
2025-09-23,1000000.0,1000000.0,2635741.968099925,2416119.352231651,2023784.318391205,1000000.0,1000000.0,3064920.809157911
2025-09-24,1000000.0,1000000.0,2482057.125278603,2275293.6048567807,1908651.9350211837,1000000.0,1000000.0,2882755.736762323
2025-09-25,1000000.0,1000000.0,2433107.2901188703,2230439.4930673675,1871981.3624126548,1000000.0,1000000.0,2824734.7237467985
2025-09-26,1000000.0,1000000.0,2321095.955609212,2127800.354378079,1787558.105860884,1000000.0,1000000.0,2691965.9191887514
2025-09-29,1000000.0,1000000.0,2377322.117617013,2179321.969271324,1787558.105860884,1000000.0,1000000.0,2758611.677382259
2025-09-30,1000000.0,1000000.0,2273469.0889673103,2083547.2876866437,1787558.105860884,1000000.0,1000000.0,2635513.041660133
2025-10-09,1000000.0,1000000.0,2210407.5896173846,2083547.2876866437,1787558.105860884,1000000.0,1000000.0,2560765.25011761
2025-10-10,1000000.0,1000000.0,2061573.6313614412,2083547.2876866437,1787558.105860884,1000000.0,1000000.0,2384350.0078406776
2025-10-13,1000000.0,1000000.0,2003583.511329866,2083547.2876866437,1787558.105860884,1000000.0,1000000.0,2315613.402331295
2025-10-14,1000000.0,1000000.0,1928174.3058135214,2083547.2876866437,1787558.105860884,1000000.0,1000000.0,2226229.6795776486
2025-10-15,1000000.0,1000000.0,1946475.3703101783,2083547.2876866437,1787558.105860884,1000000.0,1000000.0,2247922.2204798493
2025-10-16,1000000.0,1000000.0,1938758.0539561661,2083547.2876866437,1787558.105860884,1000000.0,1000000.0,2238774.7634728975
2025-10-17,1000000.0,1000000.0,1871286.659546805,2083547.2876866437,1787558.105860884,1000000.0,1000000.0,2158799.8536406877
2025-10-20,1000000.0,1000000.0,1865333.3012165674,2083547.2876866437,1787558.105860884,1000000.0,1000000.0,2151743.2439496107
2025-10-21,1000000.0,1000000.0,1989912.8366456165,2083547.2876866437,1787558.105860884,1000000.0,1000000.0,2299409.3356332653
2025-10-22,1000000.0,1000000.0,2069511.4424684248,2083547.2876866437,1787558.105860884,1000000.0,1000000.0,2393758.8207621137
2025-10-23,1000000.0,1000000.0,1934789.1484026744,2083547.2876866437,1787558.105860884,1000000.0,1000000.0,2234070.357012179
2025-10-24,1000000.0,1000000.0,2032027.334463224,2083547.2876866437,1787558.105860884,1000000.0,1000000.0,2349328.315299775
2025-10-27,1000000.0,1000000.0,2108980.003250371,2083547.2876866437,1787558.105860884,1000000.0,1000000.0,2440541.5294548115
2025-10-28,1000000.0,1000000.0,2062455.610373328,2083547.2876866437,1787558.105860884,1000000.0,1000000.0,2385395.4314986146
2025-10-29,1000000.0,1000000.0,2056502.2520430903,2083547.2876866437,1787558.105860884,1000000.0,1000000.0,2378338.8218075377
2025-10-30,1000000.0,1000000.0,2001378.5638001484,2083547.2876866437,1787558.105860884,1000000.0,1000000.0,2312999.843186451
2025-10-31,1000000.0,1000000.0,1921779.95797734,2083547.2876866437,1787558.105860884,1000000.0,1000000.0,2218650.358057603
2025-11-03,1000000.0,1000000.0,1925528.3687778602,2083547.2876866437,1787558.105860884,1000000.0,1000000.0,2223093.408603837
2025-11-04,1000000.0,1000000.0,1870845.6700408615,2083547.2876866437,1787558.105860884,1000000.0,1000000.0,2158277.141811719
2025-11-05,1000000.0,1000000.0,1830495.130247028,2083547.2876866437,1787558.105860884,1000000.0,1000000.0,2110449.009461084
2025-11-06,1000000.0,1000000.0,1884516.3447251113,2083547.2876866437,1787558.105860884,1000000.0,1000000.0,2174481.2085097483
2025-11-07,1000000.0,1000000.0,1852103.6160382614,2083547.2876866437,1787558.105860884,1000000.0,1000000.0,2136061.88908055
2025-11-10,1000000.0,999715.0,1812855.5500092867,2083547.2876866437,1787558.105860884,1000000.0,1000000.0,2089540.5363023365
2025-11-11,1000000.0,993062.8373983739,1800507.8438428675,2083547.2876866437,1787558.105860884,1000000.0,1000000.0,2074904.6050912132
2025-11-12,1000000.0,979520.9349593496,1775371.442004086,2083547.2876866437,1787558.105860884,1000000.0,1000000.0,2045110.0308399978
2025-11-13,1000000.0,980708.8211382113,1777576.3895338036,2083547.2876866437,1787558.105860884,1000000.0,1000000.0,2047723.5899848414
2025-11-14,1000000.0,993656.7804878048,1801610.3176077264,2083547.2876866437,1787558.105860884,1000000.0,1000000.0,2076211.384663635
2025-11-17,1000000.0,1013375.6910569104,1838212.4466010397,2083547.2876866437,1787558.105860884,1000000.0,1000000.0,2119596.466468036
2025-11-18,1000000.0,1014563.5772357723,1840417.3941307575,2083547.2876866437,1787558.105860884,1000000.0,1000000.0,2122210.0256128795
2025-11-19,1000000.0,1044023.1544715448,1895100.0928677563,2083547.2876866437,1787558.105860884,1000000.0,1000000.0,2187026.292404997
2025-11-20,1000000.0,981421.5528455283,1778899.3580516342,2083547.2876866437,1787558.105860884,1000000.0,1000000.0,2049291.7254717473
2025-11-21,1000000.0,915256.2926829269,1656083.7806463595,2083547.2876866437,1787558.105860884,1000000.0,1000000.0,1903716.4811039674
2025-11-24,1000000.0,924759.3821138211,1673723.360884101,2083547.2876866437,1787558.105860884,1000000.0,1000000.0,1924624.9542627148
2025-11-25,1000000.0,1012187.8048780487,1836007.4990713221,2083547.2876866437,1787558.105860884,1000000.0,1000000.0,2116982.907323193
