date,version,slip,failure,bars,orders,turnover,initial_equity,final_equity,account_gross,hold_gross,excess_gross,final_position,position_gap,short_unclosed,long_unclosed,mom_unclosed,state,cycles,strategy_reported_gross,max_drawdown
20260520,v39,0.0,,241,4,156364.0,179380.0,180578.0,1198.0,210.00000000000227,988.0,200,0,0,0,0,BT_DIPPING,2,987.9999999999995,0.015435283785267373
20260520,v39,0.01,,241,4,156364.0,179380.0,180574.0,1194.0,210.00000000000227,984.0,200,0,0,0,0,BT_DIPPING,2,987.9999999999995,0.015435622694537132
20260521,v51,0.0,,241,4,154958.0,179590.0,176358.0,-3232.0,-4429.999999999995,1198.0,200,0,0,0,0,IDLE,2,1197.9999999999964,0.02071108042802905
20260521,v51,0.01,,241,4,155689.0,179590.0,175229.0,-4361.0,-4429.999999999995,69.0,200,0,0,0,0,IDLE,2,69.00000000000546,0.03535453833338853
20260521,v39,0.0,,241,5,193068.0,179590.0,173876.0,-5714.0,-4429.999999999995,-1284.0,300,100,0,100,0,BT_DIPPING,2,-356.0000000000002,0.034952731969668305
20260521,v39,0.01,,241,5,193068.0,179590.0,173872.0,-5718.0,-4429.999999999995,-1288.0,300,100,0,100,0,BT_DIPPING,2,-356.0000000000002,0.03497500194862313
20260522,v51,0.0,,241,4,153458.0,176000.0,178654.0,2654.0,1732.000000000005,922.0,200,0,0,0,0,DONE,2,922.0000000000027,0.017165167051854557
20260522,v51,0.01,,241,4,153457.0,176000.0,178651.0,2651.0,1732.000000000005,919.0,200,0,0,0,0,DONE,2,918.9999999999998,0.017165359631113097
20260522,v39,0.0,,241,3,115130.0,176000.0,177956.0,1956.0,1732.000000000005,224.0,100,-100,100,0,0,SOLD,1,390.0000000000034,0.013323414040308346
20260522,v39,0.01,,241,3,115129.0,176000.0,177953.0,1953.0,1732.000000000005,221.0,100,-100,100,0,0,SOLD,1,390.0000000000034,0.013329050002254372
20260525,v51,0.0,,241,4,153917.0,177732.0,177947.0,215.0,-526.0000000000105,741.0,200,0,0,0,0,DONE,2,740.9999999999968,0.016924358022190722
20260525,v51,0.01,,241,4,153917.0,177732.0,177943.0,211.0,-526.0000000000105,737.0,200,0,0,0,0,DONE,2,737.0000000000005,0.016935610919811883
20260525,v39,0.0,,241,4,153917.0,177732.0,177947.0,215.0,-526.0000000000105,741.0,200,0,0,0,0,IDLE,2,431.9999999999993,0.016924358022190722
20260525,v39,0.01,,241,4,153917.0,177732.0,177943.0,211.0,-526.0000000000105,737.0,200,0,0,0,0,IDLE,2,431.9999999999993,0.016935610919811883
20260526,v51,0.0,,241,3,112592.0,176800.0,170751.0,-6049.0,-4013.9999999999986,-2035.0,300,100,0,100,0,BT_DIPPING,1,-673.0000000000018,0.04342760180995475
20260526,v51,0.01,,241,3,112593.0,176800.0,170748.0,-6052.0,-4013.9999999999986,-2038.0,300,100,0,100,0,BT_DIPPING,1,-675.0,0.04344457013574665
20260526,v39,0.0,,241,5,185716.0,176800.0,171221.0,-5579.0,-4013.9999999999986,-1565.0,300,100,0,100,0,BT_DIPPING,2,-202.99999999999727,0.04076923076923078
20260526,v39,0.01,,241,5,185716.0,176800.0,171217.0,-5583.0,-4013.9999999999986,-1569.0,300,100,0,100,0,BT_DIPPING,2,-202.99999999999727,0.04079185520361994
20260527,v51,0.0,,241,4,145694.0,172598.0,174054.0,1456.0,622.0000000000027,834.0,200,0,0,0,0,DONE,2,833.9999999999975,0.008771426933440352
20260527,v51,0.01,,241,4,145692.0,172598.0,174052.0,1454.0,622.0000000000027,832.0,200,0,0,0,0,DONE,2,831.9999999999993,0.008771527507051569
20260527,v39,0.0,,241,4,145978.0,172598.0,174030.0,1432.0,622.0000000000027,810.0,200,0,0,0,0,BT_DIPPING,2,810.0000000000023,0.008388088112192826
20260527,v39,0.01,,241,4,145976.0,172598.0,174028.0,1430.0,622.0000000000027,808.0,200,0,0,0,0,BT_DIPPING,2,810.0000000000023,0.008388184299245482
20260528,v51,0.0,,241,4,142895.0,172132.0,173469.0,1337.0,1977.9999999999973,-641.0,200,0,0,0,0,FORCED,2,-641.0000000000025,0.013727836776427416
20260528,v51,0.01,,241,4,142894.0,172132.0,173466.0,1334.0,1977.9999999999973,-644.0,200,0,0,0,0,FORCED,2,-643.9999999999998,0.013739455766504816
20260528,v39,0.0,,241,4,142791.0,172132.0,174085.0,1953.0,1977.9999999999973,-25.0,200,0,0,0,0,IDLE,2,-25.0,0.012380033927451017
20260528,v39,0.01,,241,4,142791.0,172132.0,174081.0,1949.0,1977.9999999999973,-29.0,200,0,0,0,0,IDLE,2,-25.0,0.012391652917528417
20260529,v51,0.0,,241,4,148300.0,173994.0,181316.0,7322.0,6567.9999999999945,754.0,200,0,0,0,0,DONE,2,754.000000000002,0.016766033136796366
20260529,v51,0.01,,241,4,148298.0,173994.0,181314.0,7320.0,6567.9999999999945,752.0,200,0,0,0,0,DONE,2,752.0000000000039,0.016766217225174573
20260529,v39,0.0,,241,4,150504.0,173994.0,178118.0,4124.0,6567.9999999999945,-2444.0,200,0,0,0,0,IDLE,2,260.0000000000023,0.009982317038389144
20260529,v39,0.01,,241,4,150502.0,173994.0,178116.0,4122.0,6567.9999999999945,-2446.0,200,0,0,0,0,IDLE,2,260.0000000000023,0.009988021219553889
20260601,v51,0.0,,241,4,150957.0,179998.0,173965.0,-6033.0,-5682.0000000000055,-351.0,200,0,0,0,0,DONE,2,-350.9999999999934,0.043828264758497326
20260601,v51,0.01,,241,4,150957.0,179998.0,173961.0,-6037.0,-5682.0000000000055,-355.0,200,0,0,0,0,DONE,2,-354.99999999998977,0.04384493161035119
20260601,v39,0.0,,241,5,187730.0,179998.0,173338.0,-6660.0,-5682.0000000000055,-978.0,300,100,0,100,0,BT_DIPPING,2,-308.9999999999975,0.043828264758497326
20260601,v39,0.01,,241,5,187730.0,179998.0,173334.0,-6664.0,-5682.0000000000055,-982.0,300,100,0,100,0,BT_DIPPING,2,-308.9999999999975,0.04384493161035119
20260602,v51,0.0,,241,4,155917.0,174622.0,179715.0,5093.0,7125.999999999999,-2033.0,200,0,0,0,0,DONE,2,-2033.0000000000039,0.004179107822102179
20260602,v51,0.01,,241,4,155915.0,174622.0,179713.0,5091.0,7125.999999999999,-2035.0,200,0,0,0,0,DONE,2,-2035.000000000002,0.004179154645528094
20260602,v39,0.0,,241,3,152646.0,174622.0,181354.0,6732.0,7125.999999999999,-394.0,200,0,0,0,0,IDLE,1,-394.00000000000546,0.008338083582022815
20260602,v39,0.01,,241,3,152644.0,174622.0,181352.0,6730.0,7125.999999999999,-396.0,200,0,0,0,0,IDLE,1,-394.00000000000546,0.008338176778289408
20260603,v51,0.0,,241,4,175806.0,184600.0,187316.0,2716.0,4398.000000000002,-1682.0,200,0,0,0,0,FORCED,2,-1682.000000000005,0.0026232445055823783
20260603,v51,0.01,,241,4,175804.0,184600.0,187314.0,2714.0,4398.000000000002,-1684.0,200,0,0,0,0,FORCED,2,-1684.0000000000032,0.0026339081011335086
20260603,v39,0.0,,241,3,131434.0,184600.0,187189.0,2589.0,4398.000000000002,-1809.0,100,-100,100,0,0,SOLD,1,0.0,0.0026232445055823783
20260603,v39,0.01,,241,3,131432.0,184600.0,187187.0,2587.0,4398.000000000002,-1811.0,100,-100,100,0,0,SOLD,1,0.0,0.0026339081011335086
20260604,v51,0.0,,241,4,182639.0,186980.0,191815.0,4835.0,4198.000000000002,637.0,200,0,0,0,0,DONE,2,637.0000000000005,0.0039229968782518165
20260604,v51,0.01,,241,4,182637.0,186980.0,191813.0,4833.0,4198.000000000002,635.0,200,0,0,0,0,DONE,2,635.0000000000023,0.003933402705515121
20260604,v39,0.0,,241,4,182639.0,186980.0,191815.0,4835.0,4198.000000000002,637.0,200,0,0,0,0,IDLE,2,361.00000000000136,0.0039229968782518165
20260604,v39,0.01,,241,4,182637.0,186980.0,191813.0,4833.0,4198.000000000002,635.0,200,0,0,0,0,IDLE,2,361.00000000000136,0.003933402705515121
20260605,v51,0.0,,241,4,186205.0,191190.0,189417.0,-1773.0,-2855.9999999999945,1083.0,200,0,0,0,0,DONE,2,1082.9999999999984,0.028408095095724617
20260605,v51,0.01,,241,4,186203.0,191190.0,189415.0,-1775.0,-2855.9999999999945,1081.0,200,0,0,0,0,DONE,2,1081.0000000000002,0.028413396359662446
20260605,v39,0.0,,241,4,188747.0,191190.0,189387.0,-1803.0,-2855.9999999999945,1053.0,200,0,0,0,0,BT_DIPPING,2,1052.9999999999973,0.03653885480572594
20260605,v39,0.01,,241,4,188745.0,191190.0,189385.0,-1805.0,-2855.9999999999945,1051.0,200,0,0,0,0,BT_DIPPING,2,1052.9999999999973,0.0365490797546012
20260608,v51,0.0,,241,4,164149.0,181200.0,187313.0,6113.0,6860.000000000002,-747.0,200,0,0,0,0,FORCED,2,-747.0000000000027,0.032242412859401215
20260608,v51,0.01,,241,4,164148.0,181200.0,187310.0,6110.0,6860.000000000002,-750.0,200,0,0,0,0,FORCED,2,-750.0,0.03224291751447805
20260608,v39,0.0,,241,2,81701.0,181200.0,181701.0,501.0,6860.000000000002,-6359.0,0,-200,200,0,0,SOLD,0,0.0,0.014084201153232168
20260608,v39,0.01,,241,2,81699.0,181200.0,181699.0,499.0,6860.000000000002,-6361.0,0,-200,200,0,0,SOLD,0,0.0,0.014089630683360665
20260609,v51,0.0,,241,4,187462.0,190800.0,198148.0,7348.0,6065.999999999996,1282.0,200,0,0,0,0,DONE,2,1282.000000000005,0.017167249853775712
20260609,v51,0.01,,241,4,187460.0,190800.0,198146.0,7346.0,6065.999999999996,1280.0,200,0,0,0,0,DONE,2,1280.0000000000068,0.017177511210532237
20260609,v39,0.0,,241,4,187462.0,190800.0,198148.0,7348.0,6065.999999999996,1282.0,200,0,0,0,0,IDLE,2,1282.000000000005,0.017167249853775712
20260609,v39,0.01,,241,4,187460.0,190800.0,198146.0,7346.0,6065.999999999996,1280.0,200,0,0,0,0,IDLE,2,1282.000000000005,0.017177511210532237
20260610,v51,0.0,,241,3,144720.0,196400.0,187529.0,-8871.0,-5862.0,-3009.0,300,100,0,100,0,BT_DIPPING,1,421.99999999999704,0.06543685016522927
20260610,v51,0.01,,241,3,144720.0,196400.0,187527.0,-8873.0,-5862.0,-3011.0,300,100,0,100,0,BT_DIPPING,1,420.99999999999795,0.0654469251229145
20260610,v39,0.0,,241,5,237222.0,196400.0,188211.0,-8189.0,-5862.0,-2327.0,300,100,0,100,0,BT_DIPPING,2,1103.9999999999964,0.06200128959458373
20260610,v39,0.01,,241,5,237221.0,196400.0,188208.0,-8192.0,-5862.0,-2330.0,300,100,0,100,0,BT_DIPPING,2,1103.9999999999964,0.06201640203111147
20260611,v51,0.0,,241,4,179406.0,188736.0,189852.0,1116.0,-234.00000000000318,1350.0,200,0,0,0,0,IDLE,2,1350.0000000000057,0.023241777967398014
20260611,v51,0.01,,241,4,179405.0,188736.0,189849.0,1113.0,-234.00000000000318,1347.0,200,0,0,0,0,IDLE,2,1347.0000000000084,0.02324722287260339
20260611,v39,0.0,,241,5,223822.0,188736.0,189321.0,585.0,-234.00000000000318,819.0,300,100,0,0,0,BT_DIPPING,2,968.0000000000007,0.03152494575877873
20260611,v39,0.01,,241,5,223821.0,188736.0,189318.0,582.0,-234.00000000000318,816.0,300,100,0,0,0,BT_DIPPING,2,968.0000000000007,0.03153047685943966
20260612,v51,0.0,,241,4,179500.0,191302.0,187200.0,-4102.0,-4001.999999999998,-100.0,200,0,0,0,0,DONE,2,-100.0,0.0358386216558112
20260612,v51,0.01,,241,4,179500.0,191302.0,187196.0,-4106.0,-4001.999999999998,-104.0,200,0,0,0,0,DONE,2,-103.99999999999636,0.035854303666454035
20260612,v39,0.0,,241,5,221501.0,191302.0,185207.0,-6095.0,-4001.999999999998,-2093.0,300,100,0,100,0,BT_DIPPING,2,-800.0,0.0358386216558112
20260612,v39,0.01,,241,5,221501.0,191302.0,185203.0,-6099.0,-4001.999999999998,-2097.0,300,100,0,100,0,BT_DIPPING,2,-800.0,0.035854303666454035
