date,open,close,high,low,vol
2023-11-09,29.228,29.198,29.378,29.038,15783.0
2023-11-10,29.058,29.098,29.308,28.928,13625.0
2023-11-13,29.228,29.468,29.488,29.028,17459.0
2023-11-14,29.458,29.568,29.618,29.288,15396.0
2023-11-15,29.718,29.458,29.798,29.218,16387.0
2023-11-16,29.628,29.538,31.008,29.478,38374.0
2023-11-17,29.898,31.618,32.158,29.528,84504.0
2023-11-20,30.818,30.428,30.918,29.878,91768.0
2023-11-21,30.228,29.988,30.338,29.858,54831.0
2023-11-22,29.858,29.408,30.028,29.368,35593.0
2023-11-23,29.188,29.258,29.318,28.778,28378.0
2023-11-24,29.178,28.808,29.218,28.728,21534.0
2023-11-27,28.808,28.928,28.998,28.618,17218.0
2023-11-28,28.968,29.108,29.188,28.798,19178.0
2023-11-29,29.108,28.448,29.108,28.308,25659.0
2023-11-30,28.458,28.308,28.528,28.048,16712.0
2023-12-01,28.218,28.618,28.738,28.178,17919.0
2023-12-04,28.768,28.828,29.018,28.678,22619.0
2023-12-05,28.728,28.398,28.818,28.228,14657.0
2023-12-06,28.258,28.218,28.358,27.968,14379.0
2023-12-07,28.018,28.308,28.438,27.978,13484.0
2023-12-08,28.508,29.328,29.488,28.208,67238.0
2023-12-11,28.818,29.368,29.568,28.718,51525.0
2023-12-12,29.218,28.828,29.468,28.718,32630.0
2023-12-13,28.848,28.238,28.918,28.228,22198.0
2023-12-14,28.278,28.098,28.588,28.068,14914.0
2023-12-15,28.068,27.508,28.198,27.378,25924.0
2023-12-18,27.418,26.418,27.428,26.348,23353.0
2023-12-19,26.348,26.318,26.768,26.088,13645.0
2023-12-20,26.318,25.828,26.518,25.818,14639.0
2023-12-21,25.828,25.988,26.218,25.488,14285.0
2023-12-22,25.988,25.708,26.108,25.498,11767.0
2023-12-25,25.598,25.908,26.008,25.598,11138.0
2023-12-26,25.908,25.498,26.018,25.388,12591.0
2023-12-27,25.548,25.678,25.698,25.328,8955.0
2023-12-28,25.678,26.438,26.488,25.538,17207.0
2023-12-29,26.328,26.678,26.818,26.268,12782.0
2024-01-02,26.658,26.388,26.768,26.378,14668.0
2024-01-03,26.368,26.278,26.468,26.098,11227.0
2024-01-04,26.368,26.358,26.368,26.018,10047.0
2024-01-05,26.348,25.918,26.398,25.818,12732.0
2024-01-08,25.798,25.178,26.018,25.138,13091.0
2024-01-09,25.138,25.078,25.368,24.898,9757.0
2024-01-10,25.118,24.928,25.248,24.638,9181.0
2024-01-11,24.928,25.248,25.458,24.728,10314.0
2024-01-12,25.268,24.948,25.378,24.938,8549.0
2024-01-15,24.878,24.958,25.168,24.718,6897.0
2024-01-16,24.978,25.158,25.248,24.718,13312.0
2024-01-17,25.098,24.748,25.208,24.748,9300.0
2024-01-18,25.338,25.078,25.338,24.318,16078.0
2024-01-19,25.208,24.848,25.338,24.828,10436.0
2024-01-22,24.838,23.658,24.848,23.518,16863.0
2024-01-23,23.668,24.338,24.348,23.278,15221.0
2024-01-24,24.318,24.538,24.558,23.428,15001.0
2024-01-25,24.588,25.608,25.698,24.468,24627.0
2024-01-26,25.618,25.258,25.748,25.218,12984.0
2024-01-29,25.218,24.768,25.418,24.638,12823.0
2024-01-30,24.768,24.108,24.918,24.048,9938.0
2024-01-31,24.158,23.098,24.208,22.978,16698.0
2024-02-01,23.098,23.168,23.718,22.618,15749.0
2024-02-02,23.168,21.818,23.438,21.198,18527.0
