code,date,direction,shares,price,commission,stamp_tax,pnl
300413.SZ,2021-02-08,sell,16700,80.979,338.09,1352.35,-49867.26
002714.SZ,2021-02-08,buy,12300,116.516,358.29,0.0,0.0
300122.SZ,2021-02-19,sell,6700,182.317,305.38,1221.53,15342.89
601888.SH,2021-02-19,buy,3500,372.272,325.74,0.0,0.0
002594.SZ,2021-02-22,sell,6400,239.28,382.85,1531.4,24873.72
300274.SZ,2021-02-22,sell,9100,92.258,209.89,839.54,-68680.08
000001.SZ,2021-02-22,sell,77100,22.358,430.94,1723.77,-60401.45
000963.SZ,2021-02-22,buy,49700,34.034,422.87,0.0,0.0
601288.SH,2021-02-22,buy,930700,3.263,759.28,0.0,0.0
601398.SH,2021-02-22,buy,565000,5.375,759.27,0.0,0.0
601888.SH,2021-02-24,sell,3500,314.315,275.03,1100.1,-204222.98
601328.SH,2021-02-24,buy,651100,4.575,744.63,0.0,0.0
000963.SZ,2021-02-25,sell,49700,32.967,409.61,1638.46,-55077.97
000002.SZ,2021-02-25,buy,46600,33.023,384.72,0.0,0.0
000002.SZ,2021-02-26,sell,46600,33.067,385.23,1540.92,120.06
601288.SH,2021-02-26,sell,930700,3.257,757.76,3031.05,-9856.97
601328.SH,2021-02-26,sell,651100,4.565,743.14,2972.55,-9666.74
300418.SZ,2021-03-01,buy,53300,26.647,355.07,0.0,0.0
003816.SZ,2021-03-01,buy,1088100,2.753,748.82,0.0,0.0
600028.SH,2021-03-01,buy,469600,4.575,537.05,0.0,0.0
300418.SZ,2021-03-02,sell,53300,26.204,349.17,1396.66,-25349.73
003816.SZ,2021-03-02,sell,1088100,2.757,750.04,3000.15,1135.38
600028.SH,2021-03-02,sell,469600,4.376,513.7,2054.79,-95995.41
600016.SH,2021-03-03,buy,574100,5.225,749.95,0.0,0.0
600837.SH,2021-03-03,buy,247000,12.142,749.78,0.0,0.0
002142.SZ,2021-03-03,buy,35400,44.134,390.59,0.0,0.0
600016.SH,2021-03-04,sell,574100,5.215,748.45,2993.81,-9735.86
600837.SH,2021-03-04,sell,247000,11.958,738.41,2953.63,-49164.74
002142.SZ,2021-03-04,sell,35400,42.358,374.86,1499.46,-64762.07
601398.SH,2021-03-05,sell,565000,5.564,785.98,3143.9,102889.02
002714.SZ,2021-03-08,sell,12300,110.09,338.53,1354.1,-80739.81
600111.SH,2021-03-08,sell,54000,22.318,301.29,1205.15,250675.18
000963.SZ,2021-04-29,buy,25000,47.898,299.36,0.0,0.0
300122.SZ,2021-04-29,buy,6600,215.715,355.93,0.0,0.0
600809.SH,2021-04-29,buy,3600,416.416,374.77,0.0,0.0
002304.SZ,2021-04-29,buy,9900,191.591,474.19,0.0,0.0
300274.SZ,2021-04-29,buy,15000,82.362,308.86,0.0,0.0
300750.SZ,2021-04-29,buy,4000,380.37,380.37,0.0,0.0
000963.SZ,2021-04-30,sell,25000,52.587,328.67,1314.68,115594.4
300122.SZ,2021-04-30,sell,6600,225.225,371.62,1486.48,60901.63
600809.SH,2021-04-30,sell,3600,409.84,368.86,1475.42,-25518.78
002304.SZ,2021-05-06,sell,9900,183.117,453.21,1812.86,-86165.6
300750.SZ,2021-05-07,sell,4000,366.913,366.91,1467.65,-55663.64
300274.SZ,2021-05-10,sell,15000,82.368,308.88,1235.51,-1465.34
300014.SZ,2021-05-14,buy,14000,96.677,338.37,0.0,0.0
002049.SZ,2021-05-14,buy,12500,128.178,400.56,0.0,0.0
601857.SH,2021-05-14,buy,632500,4.655,736.02,0.0,0.0
600036.SH,2021-05-14,buy,47400,55.035,652.16,0.0,0.0
002142.SZ,2021-05-14,buy,64200,42.512,682.33,0.0,0.0
600837.SH,2021-05-14,buy,252900,11.642,736.04,0.0,0.0
